siteid,sitename,datacreationdate,aqi,status,pm2.5,co
313,Pingtung（fangshan）,2024-05-31 09:00,19,Good,4,0.07
312,Taichung（Rilana Elementary）,2024-05-31 09:00,15,Good,0,0.01
311,New Taipei(Shulin),2024-05-31 09:00,53,Moderate,18,0.36
204,Pingtung（Liuqiu）,2024-05-31 09:00,19,Good,7,0.1
203,Tainan（Madou）,2024-05-31 09:00,17,Good,8,0.15
202,Kaohsiung（Hunei）,2024-05-31 09:00,13,Good,7,0.21
201,Changhua（Yuanlin）,2024-05-31 09:00,23,Good,6,0.23
85,Dacheng,2024-05-31 09:00,19,Good,0,0.05
84,FugueiCape,2024-05-31 09:00,40,Good,18,0.31
83,Mailiao,2024-05-31 09:00,19,Good,1,0.15
80,Guanshan,2024-05-31 09:00,24,Good,4,0.11
78,Magong,2024-05-31 09:00,22,Good,8,0.19
77,Kinmen,2024-05-31 09:00,85,Moderate,32,0.47
75,Matsu,2024-05-31 09:00,52,Moderate,17,0.33
72,Puli,2024-05-31 09:00,26,Good,8,0.28
71,Fuxing,2024-05-31 09:00,17,Good,4,0.36
70,Yonghe,2024-05-31 09:00,42,Good,13,2.17
69,Zhushan,2024-05-31 09:00,32,Good,12,0.58
68,Zhongli,2024-05-31 09:00,47,Good,9,1.31
67,Sanchong,2024-05-31 09:00,51,Moderate,10,1.12
66,Dongshan,2024-05-31 09:00,25,Good,8,0.42
65,Yilan,2024-05-31 09:00,17,Good,2,0.22
64,Yangming,2024-05-31 09:00,26,Good,3,0.15
63,Hualien,2024-05-31 09:00,19,Good,6,0.32
62,Taitung,2024-05-31 09:00,23,Good,2,0.28
61,Hengchun,2024-05-31 09:00,24,Good,4,0.07
60,Chaozhou,2024-05-31 09:00,19,Good,2,0.07
59,Pingtung,2024-05-31 09:00,22,Good,4,0.35
58,Xiaogang,2024-05-31 09:00,52,Moderate,11,0.63
57,Qianzhen,2024-05-31 09:00,23,Good,6,0.44
56,Qianjin,2024-05-31 09:00,18,Good,5,0.21
54,Zuoying,2024-05-31 09:00,26,Good,8,0.44
53,Nanzi,2024-05-31 09:00,23,Good,10,0.31
52,Linyuan,2024-05-31 09:00,29,Good,4,0.11
51,Daliao,2024-05-31 09:00,16,Good,4,0.13
50,Fengshan,2024-05-31 09:00,15,Good,4,0.44
49,Renwu,2024-05-31 09:00,19,Good,4,0.3
48,Qiaotou,2024-05-31 09:00,17,Good,5,0.24
47,Meinong,2024-05-31 09:00,17,Good,1,0.14
46,Tainan,2024-05-31 09:00,18,Good,9,0.23
45,Annan,2024-05-31 09:00,18,Good,5,0.26
44,Shanhua,2024-05-31 09:00,18,Good,5,0.1
43,Xinying,2024-05-31 09:00,19,Good,0,0.18
42,Chiayi,2024-05-31 09:00,20,Good,2,0.18
41,Taixi,2024-05-31 09:00,19,Good,1,0.13
40,Puzi,2024-05-31 09:00,17,Good,,0.16
39,Xingang,2024-05-31 09:00,19,Good,4,0.12
38,Lunbei,2024-05-31 09:00,17,Good,2,0.11
37,Douliu,2024-05-31 09:00,21,Good,5,0.17
36,Nantou,2024-05-31 09:00,30,Good,8,0.22
35,Erlin,2024-05-31 09:00,32,Good,6,0.11
34,Xianxi,2024-05-31 09:00,23,Good,4,0.15
33,Changhua,2024-05-31 09:00,15,Good,2,0.12
32,Xitun,2024-05-31 09:00,25,Good,6,0.23
31,Zhongming,2024-05-31 09:00,20,Good,3,0.32
30,Dali,2024-05-31 09:00,21,Good,6,0.28
29,Shalu,2024-05-31 09:00,17,Good,5,0.17
28,Fengyuan,2024-05-31 09:00,18,Good,2,0.16
27,Sanyi,2024-05-31 09:00,19,Good,2,0.12
26,Miaoli,2024-05-31 09:00,29,Good,2,0.11
25,Toufen,2024-05-31 09:00,28,Good,4,0.17
24,Hsinchu,2024-05-31 09:00,31,Good,5,0.31
23,Zhudong,2024-05-31 09:00,36,Good,8,0.17
22,Hukou,2024-05-31 09:00,50,Good,16,0.21
21,Longtan,2024-05-31 09:00,38,Good,6,0.22
20,Pingzhen,2024-05-31 09:00,41,Good,8,0.18
19,Guanyin,2024-05-31 09:00,47,Good,15,0.2
18,Dayuan,2024-05-31 09:00,40,Good,7,0.22
17,Taoyuan,2024-05-31 09:00,53,Moderate,12,0.35
16,Datong,2024-05-31 09:00,48,Good,17,2.03
15,Songshan,2024-05-31 09:00,44,Good,12,0.42
14,Guting,2024-05-31 09:00,31,Good,10,0.35
13,Wanhua,2024-05-31 09:00,36,Good,12,0.53
12,Zhongshan,2024-05-31 09:00,30,Good,11,0.62
11,Shilin,2024-05-31 09:00,41,Good,12,0.36
10,Tamsui,2024-05-31 09:00,42,Good,13,0.43
9,Linkou,2024-05-31 09:00,38,Good,6,0.32
8,Cailiao,2024-05-31 09:00,32,Good,11,0.55
7,Xinzhuang,2024-05-31 09:00,65,Moderate,23,0.68
6,Banqiao,2024-05-31 09:00,49,Good,18,0.74
5,Tucheng,2024-05-31 09:00,64,Moderate,23,0.5
4,Xindian,2024-05-31 09:00,39,Good,13,0.35
3,Wanli,2024-05-31 09:00,26,Good,16,0.4
2,Xizhi,2024-05-31 09:00,44,Good,15,0.42
1,Keelung,2024-05-31 09:00,31,Good,9,0.38
313,Pingtung（fangshan）,2024-05-31 08:00,19,Good,0,0.1
312,Taichung（Rilana Elementary）,2024-05-31 08:00,16,Good,2,0.01
311,New Taipei(Shulin),2024-05-31 08:00,53,Moderate,11,0.49
204,Pingtung（Liuqiu）,2024-05-31 08:00,19,Good,6,0.09
203,Tainan（Madou）,2024-05-31 08:00,17,Good,9,0.26
202,Kaohsiung（Hunei）,2024-05-31 08:00,13,Good,1,0.22
201,Changhua（Yuanlin）,2024-05-31 08:00,26,Good,3,0.19
85,Dacheng,2024-05-31 08:00,17,Good,0,0.07
84,FugueiCape,2024-05-31 08:00,35,Good,16,0.26
83,Mailiao,2024-05-31 08:00,18,Good,3,0.21
80,Guanshan,2024-05-31 08:00,25,Good,2,0.14
78,Magong,2024-05-31 08:00,23,Good,6,0.17
77,Kinmen,2024-05-31 08:00,84,Moderate,30,0.45
75,Matsu,2024-05-31 08:00,52,Moderate,16,0.66
72,Puli,2024-05-31 08:00,26,Good,7,0.23
71,Fuxing,2024-05-31 08:00,25,Good,6,0.71
70,Yonghe,2024-05-31 08:00,32,Good,8,0.91
69,Zhushan,2024-05-31 08:00,32,Good,5,0.13
68,Zhongli,2024-05-31 08:00,51,Moderate,11,1.64
67,Sanchong,2024-05-31 08:00,35,Good,11,0.95
66,Dongshan,2024-05-31 08:00,25,Good,6,0.33
65,Yilan,2024-05-31 08:00,17,Good,5,0.22
64,Yangming,2024-05-31 08:00,26,Good,4,0.14
63,Hualien,2024-05-31 08:00,19,Good,8,0.26
62,Taitung,2024-05-31 08:00,23,Good,2,0.2
61,Hengchun,2024-05-31 08:00,24,Good,6,0.07
60,Chaozhou,2024-05-31 08:00,21,Good,2,0.09
59,Pingtung,2024-05-31 08:00,21,Good,5,0.38
58,Xiaogang,2024-05-31 08:00,49,Good,12,0.64
57,Qianzhen,2024-05-31 08:00,27,Good,5,0.59
56,Qianjin,2024-05-31 08:00,17,Good,8,0.41
54,Zuoying,2024-05-31 08:00,25,Good,10,0.45
53,Nanzi,2024-05-31 08:00,28,Good,8,0.5
52,Linyuan,2024-05-31 08:00,27,Good,4,0.18
51,Daliao,2024-05-31 08:00,16,Good,5,0.17
50,Fengshan,2024-05-31 08:00,15,Good,5,0.48
49,Renwu,2024-05-31 08:00,19,Good,2,0.3
48,Qiaotou,2024-05-31 08:00,15,Good,4,0.23
47,Meinong,2024-05-31 08:00,18,Good,4,0.17
46,Tainan,2024-05-31 08:00,18,Good,3,0.25
45,Annan,2024-05-31 08:00,19,Good,4,0.31
44,Shanhua,2024-05-31 08:00,18,Good,2,0.11
43,Xinying,2024-05-31 08:00,19,Good,1,0.21
42,Chiayi,2024-05-31 08:00,19,Good,3,0.26
41,Taixi,2024-05-31 08:00,19,Good,1,0.13
40,Puzi,2024-05-31 08:00,16,Good,,0.2
39,Xingang,2024-05-31 08:00,19,Good,5,0.14
38,Lunbei,2024-05-31 08:00,16,Good,4,0.12
37,Douliu,2024-05-31 08:00,23,Good,8,0.28
36,Nantou,2024-05-31 08:00,30,Good,3,0.23
35,Erlin,2024-05-31 08:00,36,Good,10,0.13
34,Xianxi,2024-05-31 08:00,25,Good,7,0.17
33,Changhua,2024-05-31 08:00,16,Good,3,0.17
32,Xitun,2024-05-31 08:00,26,Good,8,0.28
31,Zhongming,2024-05-31 08:00,21,Good,7,0.36
30,Dali,2024-05-31 08:00,22,Good,8,0.38
29,Shalu,2024-05-31 08:00,19,Good,4,0.21
28,Fengyuan,2024-05-31 08:00,17,Good,0,0.22
27,Sanyi,2024-05-31 08:00,18,Good,3,0.11
26,Miaoli,2024-05-31 08:00,33,Good,6,0.15
25,Toufen,2024-05-31 08:00,31,Good,8,0.29
24,Hsinchu,2024-05-31 08:00,35,Good,9,0.32
23,Zhudong,2024-05-31 08:00,42,Good,14,0.25
22,Hukou,2024-05-31 08:00,50,Good,14,0.26
21,Longtan,2024-05-31 08:00,41,Good,8,0.29
20,Pingzhen,2024-05-31 08:00,46,Good,11,0.32
19,Guanyin,2024-05-31 08:00,45,Good,16,0.2
18,Dayuan,2024-05-31 08:00,45,Good,9,0.24
17,Taoyuan,2024-05-31 08:00,56,Moderate,16,0.52
16,Datong,2024-05-31 08:00,39,Good,15,2.66
15,Songshan,2024-05-31 08:00,44,Good,14,0.47
14,Guting,2024-05-31 08:00,30,Good,9,0.39
13,Wanhua,2024-05-31 08:00,34,Good,12,0.42
12,Zhongshan,2024-05-31 08:00,28,Good,9,0.58
11,Shilin,2024-05-31 08:00,41,Good,10,0.4
10,Tamsui,2024-05-31 08:00,41,Good,16,0.52
9,Linkou,2024-05-31 08:00,41,Good,7,0.38
8,Cailiao,2024-05-31 08:00,31,Good,6,0.57
7,Xinzhuang,2024-05-31 08:00,63,Moderate,20,0.58
6,Banqiao,2024-05-31 08:00,48,Good,21,0.79
5,Tucheng,2024-05-31 08:00,62,Moderate,24,0.57
4,Xindian,2024-05-31 08:00,37,Good,13,0.35
3,Wanli,2024-05-31 08:00,23,Good,7,0.35
2,Xizhi,2024-05-31 08:00,44,Good,14,0.51
1,Keelung,2024-05-31 08:00,30,Good,11,0.39
313,Pingtung（fangshan）,2024-05-31 07:00,20,Good,1,0.13
312,Taichung（Rilana Elementary）,2024-05-31 07:00,18,Good,2,0
311,New Taipei(Shulin),2024-05-31 07:00,55,Moderate,16,0.41
204,Pingtung（Liuqiu）,2024-05-31 07:00,20,Good,6,0.09
203,Tainan（Madou）,2024-05-31 07:00,16,Good,5,0.2
202,Kaohsiung（Hunei）,2024-05-31 07:00,15,Good,2,0.19
201,Changhua（Yuanlin）,2024-05-31 07:00,32,Good,3,0.3
85,Dacheng,2024-05-31 07:00,16,Good,0,0.06
84,FugueiCape,2024-05-31 07:00,36,Good,14,0.24
83,Mailiao,2024-05-31 07:00,18,Good,2,0.21
80,Guanshan,2024-05-31 07:00,25,Good,4,0.14
78,Magong,2024-05-31 07:00,23,Good,3,0.14
77,Kinmen,2024-05-31 07:00,84,Moderate,28,0.39
75,Matsu,2024-05-31 07:00,53,Moderate,14,0.35
72,Puli,2024-05-31 07:00,25,Good,8,0.2
71,Fuxing,2024-05-31 07:00,20,Good,3,0.32
70,Yonghe,2024-05-31 07:00,37,Good,6,0.36
69,Zhushan,2024-05-31 07:00,31,Good,9,0.13
68,Zhongli,2024-05-31 07:00,55,Moderate,15,1.53
67,Sanchong,2024-05-31 07:00,34,Good,10,0.73
66,Dongshan,2024-05-31 07:00,26,Good,8,0.27
65,Yilan,2024-05-31 07:00,17,Good,8,0.19
64,Yangming,2024-05-31 07:00,27,Good,4,0.14
63,Hualien,2024-05-31 07:00,17,Good,4,0.2
62,Taitung,2024-05-31 07:00,22,Good,4,0.14
61,Hengchun,2024-05-31 07:00,24,Good,3,0.07
60,Chaozhou,2024-05-31 07:00,21,Good,1,0.09
59,Pingtung,2024-05-31 07:00,18,Good,7,0.23
58,Xiaogang,2024-05-31 07:00,46,Good,44,0.45
57,Qianzhen,2024-05-31 07:00,20,Good,2,0.27
56,Qianjin,2024-05-31 07:00,16,Good,6,0.26
54,Zuoying,2024-05-31 07:00,22,Good,11,0.23
53,Nanzi,2024-05-31 07:00,28,Good,4,0.27
52,Linyuan,2024-05-31 07:00,22,Good,1,0.16
51,Daliao,2024-05-31 07:00,16,Good,4,0.17
50,Fengshan,2024-05-31 07:00,17,Good,1,0.3
49,Renwu,2024-05-31 07:00,19,Good,1,0.19
48,Qiaotou,2024-05-31 07:00,14,Good,6,0.13
47,Meinong,2024-05-31 07:00,16,Good,2,0.17
46,Tainan,2024-05-31 07:00,20,Good,1,0.15
45,Annan,2024-05-31 07:00,21,Good,6,0.24
44,Shanhua,2024-05-31 07:00,18,Good,3,0.07
43,Xinying,2024-05-31 07:00,19,Good,0,0.14
42,Chiayi,2024-05-31 07:00,19,Good,2,0.16
41,Taixi,2024-05-31 07:00,18,Good,0,0.12
40,Puzi,2024-05-31 07:00,17,Good,,0.15
39,Xingang,2024-05-31 07:00,19,Good,4,0.15
38,Lunbei,2024-05-31 07:00,17,Good,1,0.13
37,Douliu,2024-05-31 07:00,23,Good,4,0.18
36,Nantou,2024-05-31 07:00,31,Good,4,0.17
35,Erlin,2024-05-31 07:00,37,Good,11,0.13
34,Xianxi,2024-05-31 07:00,26,Good,6,0.2
33,Changhua,2024-05-31 07:00,16,Good,2,0.18
32,Xitun,2024-05-31 07:00,25,Good,8,0.23
31,Zhongming,2024-05-31 07:00,22,Good,8,0.27
30,Dali,2024-05-31 07:00,20,Good,4,0.22
29,Shalu,2024-05-31 07:00,20,Good,4,0.17
28,Fengyuan,2024-05-31 07:00,16,Good,1,0.19
27,Sanyi,2024-05-31 07:00,18,Good,1,0.11
26,Miaoli,2024-05-31 07:00,35,Good,9,0.21
25,Toufen,2024-05-31 07:00,32,Good,8,0.22
24,Hsinchu,2024-05-31 07:00,34,Good,14,0.32
23,Zhudong,2024-05-31 07:00,43,Good,11,0.25
22,Hukou,2024-05-31 07:00,50,Good,17,0.26
21,Longtan,2024-05-31 07:00,46,Good,10,0.34
20,Pingzhen,2024-05-31 07:00,51,Moderate,13,0.38
19,Guanyin,2024-05-31 07:00,44,Good,19,0.22
18,Dayuan,2024-05-31 07:00,48,Good,14,0.39
17,Taoyuan,2024-05-31 07:00,57,Moderate,19,0.47
16,Datong,2024-05-31 07:00,37,Good,11,0.79
15,Songshan,2024-05-31 07:00,41,Good,14,0.38
14,Guting,2024-05-31 07:00,29,Good,13,0.33
13,Wanhua,2024-05-31 07:00,32,Good,14,0.34
12,Zhongshan,2024-05-31 07:00,27,Good,9,0.62
11,Shilin,2024-05-31 07:00,44,Good,17,0.4
10,Tamsui,2024-05-31 07:00,40,Good,12,0.39
9,Linkou,2024-05-31 07:00,43,Good,17,0.51
8,Cailiao,2024-05-31 07:00,31,Good,9,0.42
7,Xinzhuang,2024-05-31 07:00,62,Moderate,20,0.5
6,Banqiao,2024-05-31 07:00,42,Good,13,0.56
5,Tucheng,2024-05-31 07:00,61,Moderate,22,0.52
4,Xindian,2024-05-31 07:00,36,Good,12,0.29
3,Wanli,2024-05-31 07:00,21,Good,5,0.34
2,Xizhi,2024-05-31 07:00,45,Good,12,0.56
1,Keelung,2024-05-31 07:00,28,Good,12,0.55
313,Pingtung（fangshan）,2024-05-31 06:00,21,Good,0,0.1
312,Taichung（Rilana Elementary）,2024-05-31 06:00,19,Good,1,0.03
311,New Taipei(Shulin),2024-05-31 06:00,54,Moderate,21,0.34
204,Pingtung（Liuqiu）,2024-05-31 06:00,21,Good,4,0.08
203,Tainan（Madou）,2024-05-31 06:00,17,Good,1,0.1
202,Kaohsiung（Hunei）,2024-05-31 06:00,16,Good,4,0.12
201,Changhua（Yuanlin）,2024-05-31 06:00,35,Good,7,0.24
85,Dacheng,2024-05-31 06:00,15,Good,0,0.06
84,FugueiCape,2024-05-31 06:00,31,Good,10,0.22
83,Mailiao,2024-05-31 06:00,17,Good,2,0.14
80,Guanshan,2024-05-31 06:00,25,Good,6,0.12
78,Magong,2024-05-31 06:00,24,Good,3,0.19
77,Kinmen,2024-05-31 06:00,85,Moderate,30,0.33
75,Matsu,2024-05-31 06:00,51,Moderate,24,0.24
72,Puli,2024-05-31 06:00,27,Good,9,0.19
71,Fuxing,2024-05-31 06:00,18,Good,0,0.2
70,Yonghe,2024-05-31 06:00,40,Good,8,0.42
69,Zhushan,2024-05-31 06:00,30,Good,12,0.14
68,Zhongli,2024-05-31 06:00,57,Moderate,19,0.72
67,Sanchong,2024-05-31 06:00,35,Good,10,0.69
66,Dongshan,2024-05-31 06:00,25,Good,9,0.34
65,Yilan,2024-05-31 06:00,16,Good,3,0.18
64,Yangming,2024-05-31 06:00,28,Good,5,0.12
63,Hualien,2024-05-31 06:00,18,Good,5,0.2
62,Taitung,2024-05-31 06:00,20,Good,6,0.11
61,Hengchun,2024-05-31 06:00,25,Good,4,0.07
60,Chaozhou,2024-05-31 06:00,19,Good,0,0.07
59,Pingtung,2024-05-31 06:00,17,Good,2,0.2
58,Xiaogang,2024-05-31 06:00,26,Good,10,0.2
57,Qianzhen,2024-05-31 06:00,30,Good,3,0.19
56,Qianjin,2024-05-31 06:00,16,Good,2,0.22
54,Zuoying,2024-05-31 06:00,20,Good,5,0.15
53,Nanzi,2024-05-31 06:00,23,Good,2,0.17
52,Linyuan,2024-05-31 06:00,19,Good,1,0.13
51,Daliao,2024-05-31 06:00,16,Good,8,0.14
50,Fengshan,2024-05-31 06:00,18,Good,0,0.17
49,Renwu,2024-05-31 06:00,20,Good,1,0.13
48,Qiaotou,2024-05-31 06:00,16,Good,2,0.12
47,Meinong,2024-05-31 06:00,17,Good,1,0.12
46,Tainan,2024-05-31 06:00,23,Good,5,0.1
45,Annan,2024-05-31 06:00,22,Good,4,0.15
44,Shanhua,2024-05-31 06:00,18,Good,3,0.06
43,Xinying,2024-05-31 06:00,19,Good,0,0.1
42,Chiayi,2024-05-31 06:00,19,Good,0,0.1
41,Taixi,2024-05-31 06:00,18,Good,0,0.1
40,Puzi,2024-05-31 06:00,16,Good,,0.12
39,Xingang,2024-05-31 06:00,20,Good,,0
38,Lunbei,2024-05-31 06:00,19,Good,4,0.11
37,Douliu,2024-05-31 06:00,23,Good,4,0.12
36,Nantou,2024-05-31 06:00,30,Good,2,0.16
35,Erlin,2024-05-31 06:00,38,Good,9,0.14
34,Xianxi,2024-05-31 06:00,26,Good,5,0.16
33,Changhua,2024-05-31 06:00,18,Good,4,0.12
32,Xitun,2024-05-31 06:00,25,Good,8,0.18
31,Zhongming,2024-05-31 06:00,23,Good,6,0.18
30,Dali,2024-05-31 06:00,19,Good,6,0.22
29,Shalu,2024-05-31 06:00,21,Good,5,0.14
28,Fengyuan,2024-05-31 06:00,17,Good,2,0.16
27,Sanyi,2024-05-31 06:00,19,Good,2,0.11
26,Miaoli,2024-05-31 06:00,36,Good,11,0.15
25,Toufen,2024-05-31 06:00,32,Good,8,0.17
24,Hsinchu,2024-05-31 06:00,32,Good,9,0.32
23,Zhudong,2024-05-31 06:00,45,Good,3,0.24
22,Hukou,2024-05-31 06:00,51,Moderate,16,0.25
21,Longtan,2024-05-31 06:00,51,Moderate,11,0.29
20,Pingzhen,2024-05-31 06:00,52,Moderate,14,0.35
19,Guanyin,2024-05-31 06:00,44,Good,11,0.22
18,Dayuan,2024-05-31 06:00,49,Good,13,0.39
17,Taoyuan,2024-05-31 06:00,57,Moderate,16,0.43
16,Datong,2024-05-31 06:00,38,Good,12,0.56
15,Songshan,2024-05-31 06:00,41,Good,13,0.35
14,Guting,2024-05-31 06:00,26,Good,11,0.31
13,Wanhua,2024-05-31 06:00,28,Good,10,0.27
12,Zhongshan,2024-05-31 06:00,26,Good,9,0.3
11,Shilin,2024-05-31 06:00,41,Good,12,0.31
10,Tamsui,2024-05-31 06:00,40,Good,14,0.42
9,Linkou,2024-05-31 06:00,40,Good,17,0.43
8,Cailiao,2024-05-31 06:00,32,Good,12,0.43
7,Xinzhuang,2024-05-31 06:00,61,Moderate,26,0.47
6,Banqiao,2024-05-31 06:00,40,Good,12,0.48
5,Tucheng,2024-05-31 06:00,57,Moderate,20,0.55
4,Xindian,2024-05-31 06:00,36,Good,11,0.25
3,Wanli,2024-05-31 06:00,21,Good,6,0.29
2,Xizhi,2024-05-31 06:00,47,Good,13,0.43
1,Keelung,2024-05-31 06:00,27,Good,9,0.42
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,0,0.09
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,3,0.03
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,17,0.27
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,6,0.07
203,Tainan（Madou）,2024-05-31 05:00,17,Good,2,0.08
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,6,0.1
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,12,0.15
85,Dacheng,2024-05-31 05:00,15,Good,2,0.05
84,FugueiCape,2024-05-31 05:00,32,Good,9,0.22
83,Mailiao,2024-05-31 05:00,17,Good,3,0.1
80,Guanshan,2024-05-31 05:00,24,Good,8,0.1
78,Magong,2024-05-31 05:00,25,Good,1,0.09
77,Kinmen,2024-05-31 05:00,84,Moderate,33,0.38
75,Matsu,2024-05-31 05:00,43,Good,19,0.24
72,Puli,2024-05-31 05:00,27,Good,6,0.16
71,Fuxing,2024-05-31 05:00,18,Good,2,0.16
70,Yonghe,2024-05-31 05:00,41,Good,15,0.25
69,Zhushan,2024-05-31 05:00,27,Good,10,0.1
68,Zhongli,2024-05-31 05:00,56,Moderate,17,0.62
67,Sanchong,2024-05-31 05:00,36,Good,9,0.32
66,Dongshan,2024-05-31 05:00,24,Good,8,0.4
65,Yilan,2024-05-31 05:00,16,Good,1,0.17
64,Yangming,2024-05-31 05:00,28,Good,4,0.13
63,Hualien,2024-05-31 05:00,19,Good,4,0.17
62,Taitung,2024-05-31 05:00,18,Good,5,0.09
61,Hengchun,2024-05-31 05:00,25,Good,6,0.07
60,Chaozhou,2024-05-31 05:00,17,Good,0,0.07
59,Pingtung,2024-05-31 05:00,18,Good,1,0.17
58,Xiaogang,2024-05-31 05:00,23,Good,7,0.14
57,Qianzhen,2024-05-31 05:00,17,Good,3,0.13
56,Qianjin,2024-05-31 05:00,17,Good,1,0.14
54,Zuoying,2024-05-31 05:00,20,Good,5,0.12
53,Nanzi,2024-05-31 05:00,20,Good,3,0.13
52,Linyuan,2024-05-31 05:00,21,Good,3,0.11
51,Daliao,2024-05-31 05:00,18,Good,6,0.12
50,Fengshan,2024-05-31 05:00,19,Good,1,0.14
49,Renwu,2024-05-31 05:00,21,Good,3,0.12
48,Qiaotou,2024-05-31 05:00,17,Good,0,0.09
47,Meinong,2024-05-31 05:00,16,Good,0,0.11
46,Tainan,2024-05-31 05:00,26,Good,9,0.08
