siteid,sitename,datacreationdate,aqi,status,pm2.5,co
45,Annan,2024-05-31 05:00,24,Good,7,0.11
44,Shanhua,2024-05-31 05:00,19,Good,4,0.06
43,Xinying,2024-05-31 05:00,19,Good,0,0.09
42,Chiayi,2024-05-31 05:00,18,Good,0,0.08
41,Taixi,2024-05-31 05:00,18,Good,0,0.1
40,Puzi,2024-05-31 05:00,16,Good,,0.09
39,Xingang,2024-05-31 05:00,20,Good,5,0.08
38,Lunbei,2024-05-31 05:00,20,Good,6,0.11
37,Douliu,2024-05-31 05:00,23,Good,4,0.11
36,Nantou,2024-05-31 05:00,28,Good,1,0.15
35,Erlin,2024-05-31 05:00,41,Good,10,0.12
34,Xianxi,2024-05-31 05:00,26,Good,4,0.13
33,Changhua,2024-05-31 05:00,18,Good,5,0.13
32,Xitun,2024-05-31 05:00,24,Good,7,0.17
31,Zhongming,2024-05-31 05:00,23,Good,5,0.18
30,Dali,2024-05-31 05:00,21,Good,6,0.16
29,Shalu,2024-05-31 05:00,22,Good,6,0.16
28,Fengyuan,2024-05-31 05:00,18,Good,3,0.14
27,Sanyi,2024-05-31 05:00,21,Good,5,0.1
26,Miaoli,2024-05-31 05:00,38,Good,10,0.16
25,Toufen,2024-05-31 05:00,34,Good,11,0.18
24,Hsinchu,2024-05-31 05:00,33,Good,13,0.26
23,Zhudong,2024-05-31 05:00,52,Moderate,18,0.23
22,Hukou,2024-05-31 05:00,50,Good,15,0.24
21,Longtan,2024-05-31 05:00,54,Moderate,11,0.26
20,Pingzhen,2024-05-31 05:00,53,Moderate,20,0.41
19,Guanyin,2024-05-31 05:00,44,Good,15,0.23
18,Dayuan,2024-05-31 05:00,52,Moderate,17,0.4
17,Taoyuan,2024-05-31 05:00,57,Moderate,22,0.5
16,Datong,2024-05-31 05:00,38,Good,10,0.47
15,Songshan,2024-05-31 05:00,41,Good,11,0.29
14,Guting,2024-05-31 05:00,23,Good,7,0.21
13,Wanhua,2024-05-31 05:00,28,Good,6,0.24
12,Zhongshan,2024-05-31 05:00,26,Good,5,0.24
11,Shilin,2024-05-31 05:00,42,Good,11,0.3
10,Tamsui,2024-05-31 05:00,38,Good,11,0.44
9,Linkou,2024-05-31 05:00,36,Good,11,0.33
8,Cailiao,2024-05-31 05:00,32,Good,8,0.39
7,Xinzhuang,2024-05-31 05:00,55,Moderate,20,0.43
6,Banqiao,2024-05-31 05:00,41,Good,15,0.45
5,Tucheng,2024-05-31 05:00,56,Moderate,19,0.42
4,Xindian,2024-05-31 05:00,35,Good,9,0.21
3,Wanli,2024-05-31 05:00,22,Good,5,0.29
2,Xizhi,2024-05-31 05:00,46,Good,16,0.37
1,Keelung,2024-05-31 05:00,24,Good,7,0.38
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,0,0.08
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,1,0.01
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,15,0.28
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,7,0.07
203,Tainan（Madou）,2024-05-31 04:00,18,Good,5,0.08
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,4,0.2
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,14,0.17
85,Dacheng,2024-05-31 04:00,15,Good,2,0.06
84,FugueiCape,2024-05-31 04:00,32,Good,15,0.22
83,Mailiao,2024-05-31 04:00,19,Good,3,0.1
80,Guanshan,2024-05-31 04:00,23,Good,5,0.1
78,Magong,2024-05-31 04:00,25,Good,1,0.08
77,Kinmen,2024-05-31 04:00,83,Moderate,32,0.39
75,Matsu,2024-05-31 04:00,40,Good,17,0.21
72,Puli,2024-05-31 04:00,30,Good,6,0.17
71,Fuxing,2024-05-31 04:00,18,Good,2,0.12
70,Yonghe,2024-05-31 04:00,41,Good,6,0.2
69,Zhushan,2024-05-31 04:00,26,Good,7,0.09
68,Zhongli,2024-05-31 04:00,54,Moderate,20,0.61
67,Sanchong,2024-05-31 04:00,39,Good,11,0.33
66,Dongshan,2024-05-31 04:00,25,Good,9,0.38
65,Yilan,2024-05-31 04:00,15,Good,0,0.17
64,Yangming,2024-05-31 04:00,28,Good,6,0.14
63,Hualien,2024-05-31 04:00,20,Good,4,0.15
62,Taitung,2024-05-31 04:00,18,Good,5,0.09
61,Hengchun,2024-05-31 04:00,25,Good,4,0.07
60,Chaozhou,2024-05-31 04:00,15,Good,2,0.07
59,Pingtung,2024-05-31 04:00,19,Good,2,0.15
58,Xiaogang,2024-05-31 04:00,31,Good,7,0.1
57,Qianzhen,2024-05-31 04:00,17,Good,0,0.09
56,Qianjin,2024-05-31 04:00,18,Good,1,0.12
54,Zuoying,2024-05-31 04:00,22,Good,4,0.11
53,Nanzi,2024-05-31 04:00,17,Good,3,0.09
52,Linyuan,2024-05-31 04:00,23,Good,4,0.1
51,Daliao,2024-05-31 04:00,19,Good,4,0.1
50,Fengshan,2024-05-31 04:00,20,Good,0,0.12
49,Renwu,2024-05-31 04:00,22,Good,3,0.11
48,Qiaotou,2024-05-31 04:00,18,Good,0,0.07
47,Meinong,2024-05-31 04:00,17,Good,0,0.1
46,Tainan,2024-05-31 04:00,25,Good,7,0.08
45,Annan,2024-05-31 04:00,24,Good,6,0.1
44,Shanhua,2024-05-31 04:00,21,Good,6,0.06
43,Xinying,2024-05-31 04:00,19,Good,0,0.09
42,Chiayi,2024-05-31 04:00,19,Good,1,0.07
41,Taixi,2024-05-31 04:00,19,Good,0,0.1
40,Puzi,2024-05-31 04:00,16,Good,,0.09
39,Xingang,2024-05-31 04:00,21,Good,5,0.08
38,Lunbei,2024-05-31 04:00,19,Good,5,0.11
37,Douliu,2024-05-31 04:00,23,Good,5,0.12
36,Nantou,2024-05-31 04:00,28,Good,3,0.14
35,Erlin,2024-05-31 04:00,42,Good,8,0.1
34,Xianxi,2024-05-31 04:00,27,Good,5,0.15
33,Changhua,2024-05-31 04:00,19,Good,3,0.14
32,Xitun,2024-05-31 04:00,26,Good,6,0.16
31,Zhongming,2024-05-31 04:00,25,Good,8,0.16
30,Dali,2024-05-31 04:00,24,Good,2,0.14
29,Shalu,2024-05-31 04:00,24,Good,5,0.18
28,Fengyuan,2024-05-31 04:00,18,Good,3,0.14
27,Sanyi,2024-05-31 04:00,23,Good,6,0.11
26,Miaoli,2024-05-31 04:00,40,Good,10,0.18
25,Toufen,2024-05-31 04:00,34,Good,9,0.19
24,Hsinchu,2024-05-31 04:00,32,Good,9,0.29
23,Zhudong,2024-05-31 04:00,53,Moderate,14,0.23
22,Hukou,2024-05-31 04:00,49,Good,13,0.25
21,Longtan,2024-05-31 04:00,57,Moderate,15,0.29
20,Pingzhen,2024-05-31 04:00,48,Good,21,0.44
19,Guanyin,2024-05-31 04:00,39,Good,17,0.22
18,Dayuan,2024-05-31 04:00,48,Good,15,0.31
17,Taoyuan,2024-05-31 04:00,53,Moderate,19,0.51
16,Datong,2024-05-31 04:00,39,Good,12,0.41
15,Songshan,2024-05-31 04:00,42,Good,9,0.3
14,Guting,2024-05-31 04:00,24,Good,7,0.18
13,Wanhua,2024-05-31 04:00,30,Good,8,0.24
12,Zhongshan,2024-05-31 04:00,29,Good,5,0.26
11,Shilin,2024-05-31 04:00,41,Good,17,0.31
10,Tamsui,2024-05-31 04:00,37,Good,14,0.41
9,Linkou,2024-05-31 04:00,37,Good,12,0.44
8,Cailiao,2024-05-31 04:00,34,Good,8,0.35
7,Xinzhuang,2024-05-31 04:00,55,Moderate,20,0.41
6,Banqiao,2024-05-31 04:00,39,Good,12,0.42
5,Tucheng,2024-05-31 04:00,55,Moderate,20,0.38
4,Xindian,2024-05-31 04:00,37,Good,12,0.2
3,Wanli,2024-05-31 04:00,23,Good,6,0.31
2,Xizhi,2024-05-31 04:00,44,Good,15,0.44
1,Keelung,2024-05-31 04:00,24,Good,8,0.38
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,0,0.09
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,3,0
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,14,0.28
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,6,0.06
203,Tainan（Madou）,2024-05-31 03:00,17,Good,5,0.09
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,6,0.14
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,8,0.21
85,Dacheng,2024-05-31 03:00,16,Good,4,0.07
84,FugueiCape,2024-05-31 03:00,27,Good,9,0.22
83,Mailiao,2024-05-31 03:00,21,Good,5,0.11
80,Guanshan,2024-05-31 03:00,23,Good,4,0.1
78,Magong,2024-05-31 03:00,26,Good,1,0.08
77,Kinmen,2024-05-31 03:00,81,Moderate,30,0.38
75,Matsu,2024-05-31 03:00,37,Good,11,0.19
72,Puli,2024-05-31 03:00,33,Good,10,0.18
71,Fuxing,2024-05-31 03:00,18,Good,1,0.11
70,Yonghe,2024-05-31 03:00,57,Moderate,9,0.22
69,Zhushan,2024-05-31 03:00,25,Good,6,0.1
68,Zhongli,2024-05-31 03:00,53,Moderate,20,0.74
67,Sanchong,2024-05-31 03:00,39,Good,12,0.45
66,Dongshan,2024-05-31 03:00,24,Good,6,0.39
65,Yilan,2024-05-31 03:00,17,Good,1,0.15
64,Yangming,2024-05-31 03:00,26,Good,7,0.15
63,Hualien,2024-05-31 03:00,20,Good,4,0.16
62,Taitung,2024-05-31 03:00,17,Good,3,0.09
61,Hengchun,2024-05-31 03:00,25,Good,4,0.07
60,Chaozhou,2024-05-31 03:00,16,Good,2,0.07
59,Pingtung,2024-05-31 03:00,20,Good,2,0.1
58,Xiaogang,2024-05-31 03:00,31,Good,6,0.11
57,Qianzhen,2024-05-31 03:00,17,Good,0,0.09
56,Qianjin,2024-05-31 03:00,18,Good,2,0.12
54,Zuoying,2024-05-31 03:00,26,Good,5,0.11
53,Nanzi,2024-05-31 03:00,18,Good,3,0.1
52,Linyuan,2024-05-31 03:00,26,Good,5,0.1
51,Daliao,2024-05-31 03:00,21,Good,4,0.09
50,Fengshan,2024-05-31 03:00,21,Good,0,0.1
49,Renwu,2024-05-31 03:00,23,Good,5,0.1
48,Qiaotou,2024-05-31 03:00,18,Good,0,0.07
47,Meinong,2024-05-31 03:00,17,Good,0,0.1
46,Tainan,2024-05-31 03:00,27,Good,6,0.12
45,Annan,2024-05-31 03:00,24,Good,6,0.14
44,Shanhua,2024-05-31 03:00,24,Good,3,0.06
43,Xinying,2024-05-31 03:00,19,Good,0,0.1
42,Chiayi,2024-05-31 03:00,19,Good,2,0.08
41,Taixi,2024-05-31 03:00,19,Good,3,0.11
40,Puzi,2024-05-31 03:00,17,Good,,0.1
39,Xingang,2024-05-31 03:00,22,Good,5,0.09
38,Lunbei,2024-05-31 03:00,20,Good,5,0.11
37,Douliu,2024-05-31 03:00,23,Good,5,0.14
36,Nantou,2024-05-31 03:00,28,Good,4,0.14
35,Erlin,2024-05-31 03:00,44,Good,13,0.14
34,Xianxi,2024-05-31 03:00,28,Good,8,0.21
33,Changhua,2024-05-31 03:00,23,Good,3,0.13
32,Xitun,2024-05-31 03:00,30,Good,8,0.17
31,Zhongming,2024-05-31 03:00,26,Good,9,0.22
30,Dali,2024-05-31 03:00,31,Good,3,0.14
29,Shalu,2024-05-31 03:00,26,Good,6,0.17
28,Fengyuan,2024-05-31 03:00,19,Good,2,0.14
27,Sanyi,2024-05-31 03:00,24,Good,4,0.12
26,Miaoli,2024-05-31 03:00,44,Good,10,0.21
25,Toufen,2024-05-31 03:00,36,Good,9,0.2
24,Hsinchu,2024-05-31 03:00,35,Good,9,0.27
23,Zhudong,2024-05-31 03:00,54,Moderate,16,0.24
22,Hukou,2024-05-31 03:00,51,Moderate,17,0.27
21,Longtan,2024-05-31 03:00,59,Moderate,18,0.32
20,Pingzhen,2024-05-31 03:00,44,Good,15,0.41
19,Guanyin,2024-05-31 03:00,35,Good,19,0.22
18,Dayuan,2024-05-31 03:00,49,Good,16,0.3
17,Taoyuan,2024-05-31 03:00,49,Good,22,0.44
16,Datong,2024-05-31 03:00,38,Good,12,0.57
15,Songshan,2024-05-31 03:00,44,Good,13,0.34
14,Guting,2024-05-31 03:00,25,Good,7,0.19
13,Wanhua,2024-05-31 03:00,31,Good,6,0.28
12,Zhongshan,2024-05-31 03:00,31,Good,7,0.3
11,Shilin,2024-05-31 03:00,39,Good,11,0.32
10,Tamsui,2024-05-31 03:00,36,Good,12,0.34
9,Linkou,2024-05-31 03:00,33,Good,14,0.37
8,Cailiao,2024-05-31 03:00,37,Good,11,0.5
7,Xinzhuang,2024-05-31 03:00,53,Moderate,20,0.41
6,Banqiao,2024-05-31 03:00,40,Good,10,0.43
5,Tucheng,2024-05-31 03:00,55,Moderate,12,0.38
4,Xindian,2024-05-31 03:00,37,Good,14,0.19
3,Wanli,2024-05-31 03:00,24,Good,7,0.3
2,Xizhi,2024-05-31 03:00,43,Good,16,0.43
1,Keelung,2024-05-31 03:00,23,Good,11,0.37
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,0,0.09
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,6,
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,19,0.33
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,8,0.07
203,Tainan（Madou）,2024-05-31 02:00,18,Good,6,0.1
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,6,0.24
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,10,0.2
85,Dacheng,2024-05-31 02:00,18,Good,5,0.1
84,FugueiCape,2024-05-31 02:00,28,Good,7,0.21
83,Mailiao,2024-05-31 02:00,22,Good,7,0.13
80,Guanshan,2024-05-31 02:00,21,Good,3,0.1
78,Magong,2024-05-31 02:00,27,Good,1,0.09
77,Kinmen,2024-05-31 02:00,78,Moderate,26,0.36
75,Matsu,2024-05-31 02:00,38,Good,9,0.18
72,Puli,2024-05-31 02:00,33,Good,8,0.18
71,Fuxing,2024-05-31 02:00,18,Good,3,0.12
70,Yonghe,2024-05-31 02:00,59,Moderate,12,0.24
69,Zhushan,2024-05-31 02:00,24,Good,3,0.11
68,Zhongli,2024-05-31 02:00,51,Moderate,19,0.62
67,Sanchong,2024-05-31 02:00,39,Good,11,0.52
66,Dongshan,2024-05-31 02:00,24,Good,7,0.3
65,Yilan,2024-05-31 02:00,19,Good,6,0.15
64,Yangming,2024-05-31 02:00,25,Good,8,0.17
63,Hualien,2024-05-31 02:00,22,Good,6,0.16
62,Taitung,2024-05-31 02:00,17,Good,1,0.1
61,Hengchun,2024-05-31 02:00,25,Good,3,0.07
60,Chaozhou,2024-05-31 02:00,18,Good,0,0.07
59,Pingtung,2024-05-31 02:00,21,Good,1,0.1
58,Xiaogang,2024-05-31 02:00,33,Good,4,0.1
57,Qianzhen,2024-05-31 02:00,16,Good,0,0.11
56,Qianjin,2024-05-31 02:00,18,Good,2,0.14
54,Zuoying,2024-05-31 02:00,29,Good,6,0.15
53,Nanzi,2024-05-31 02:00,22,Good,3,0.12
52,Linyuan,2024-05-31 02:00,27,Good,5,0.1
51,Daliao,2024-05-31 02:00,23,Good,5,0.09
50,Fengshan,2024-05-31 02:00,21,Good,0,0.1
49,Renwu,2024-05-31 02:00,24,Good,4,0.1
48,Qiaotou,2024-05-31 02:00,18,Good,3,0.11
47,Meinong,2024-05-31 02:00,18,Good,0,0.1
46,Tainan,2024-05-31 02:00,28,Good,9,0.2
45,Annan,2024-05-31 02:00,25,Good,6,0.21
44,Shanhua,2024-05-31 02:00,26,Good,6,0.07
43,Xinying,2024-05-31 02:00,20,Good,3,0.12
42,Chiayi,2024-05-31 02:00,20,Good,3,0.09
41,Taixi,2024-05-31 02:00,21,Good,3,0.13
40,Puzi,2024-05-31 02:00,19,Good,,0.12
39,Xingang,2024-05-31 02:00,25,Good,5,0.11
38,Lunbei,2024-05-31 02:00,22,Good,4,0.13
37,Douliu,2024-05-31 02:00,23,Good,5,0.18
36,Nantou,2024-05-31 02:00,27,Good,5,0.16
35,Erlin,2024-05-31 02:00,45,Good,15,0.18
34,Xianxi,2024-05-31 02:00,32,Good,11,0.23
33,Changhua,2024-05-31 02:00,27,Good,3,0.12
32,Xitun,2024-05-31 02:00,31,Good,6,0.18
31,Zhongming,2024-05-31 02:00,26,Good,7,0.22
30,Dali,2024-05-31 02:00,36,Good,7,0.18
29,Shalu,2024-05-31 02:00,28,Good,5,0.18
28,Fengyuan,2024-05-31 02:00,22,Good,3,0.15
27,Sanyi,2024-05-31 02:00,26,Good,6,0.15
26,Miaoli,2024-05-31 02:00,46,Good,16,0.23
25,Toufen,2024-05-31 02:00,38,Good,11,0.22
24,Hsinchu,2024-05-31 02:00,34,Good,11,0.28
23,Zhudong,2024-05-31 02:00,54,Moderate,16,0.24
22,Hukou,2024-05-31 02:00,49,Good,14,0.3
21,Longtan,2024-05-31 02:00,59,Moderate,20,0.41
20,Pingzhen,2024-05-31 02:00,41,Good,16,0.37
19,Guanyin,2024-05-31 02:00,31,Good,11,0.22
18,Dayuan,2024-05-31 02:00,46,Good,21,0.3
17,Taoyuan,2024-05-31 02:00,45,Good,18,0.4
16,Datong,2024-05-31 02:00,40,Good,14,0.67
15,Songshan,2024-05-31 02:00,46,Good,15,0.33
14,Guting,2024-05-31 02:00,25,Good,5,0.22
13,Wanhua,2024-05-31 02:00,35,Good,9,0.34
12,Zhongshan,2024-05-31 02:00,34,Good,11,0.34
11,Shilin,2024-05-31 02:00,39,Good,15,0.33
10,Tamsui,2024-05-31 02:00,36,Good,11,0.34
9,Linkou,2024-05-31 02:00,31,Good,12,0.33
8,Cailiao,2024-05-31 02:00,36,Good,12,0.52
7,Xinzhuang,2024-05-31 02:00,50,Good,15,0.45
6,Banqiao,2024-05-31 02:00,42,Good,14,0.5
5,Tucheng,2024-05-31 02:00,57,Moderate,16,0.46
4,Xindian,2024-05-31 02:00,35,Good,9,0.21
3,Wanli,2024-05-31 02:00,26,Good,6,0.34
2,Xizhi,2024-05-31 02:00,43,Good,11,0.49
1,Keelung,2024-05-31 02:00,22,Good,4,0.39
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,2,0.08
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,6,0.03
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,12,0.28
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,5,0.06
203,Tainan（Madou）,2024-05-31 01:00,19,Good,4,0.13
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,4,0.17
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,12,0.22
85,Dacheng,2024-05-31 01:00,20,Good,5,0.13
84,FugueiCape,2024-05-31 01:00,30,Good,5,0.16
83,Mailiao,2024-05-31 01:00,22,Good,5,0.16
80,Guanshan,2024-05-31 01:00,18,Good,2,0.11
78,Magong,2024-05-31 01:00,27,Good,1,0.1
77,Kinmen,2024-05-31 01:00,76,Moderate,30,0.33
75,Matsu,2024-05-31 01:00,39,Good,12,0.2
72,Puli,2024-05-31 01:00,35,Good,10,0.19
71,Fuxing,2024-05-31 01:00,20,Good,5,0.37
70,Yonghe,2024-05-31 01:00,59,Moderate,16,0.37
69,Zhushan,2024-05-31 01:00,30,Good,5,0.12
68,Zhongli,2024-05-31 01:00,46,Good,13,0.61
67,Sanchong,2024-05-31 01:00,50,Good,16,0.86
66,Dongshan,2024-05-31 01:00,24,Good,12,0.31
65,Yilan,2024-05-31 01:00,23,Good,9,0.17
64,Yangming,2024-05-31 01:00,25,Good,11,0.16
63,Hualien,2024-05-31 01:00,25,Good,7,0.17
62,Taitung,2024-05-31 01:00,19,Good,1,0.12
61,Hengchun,2024-05-31 01:00,27,Good,1,0.1
60,Chaozhou,2024-05-31 01:00,19,Good,0,0.06
59,Pingtung,2024-05-31 01:00,21,Good,4,0.1
58,Xiaogang,2024-05-31 01:00,40,Good,24,0.64
57,Qianzhen,2024-05-31 01:00,18,Good,3,0.29
56,Qianjin,2024-05-31 01:00,19,Good,2,0.16
54,Zuoying,2024-05-31 01:00,31,Good,8,0.18
53,Nanzi,2024-05-31 01:00,19,Good,4,0.22
52,Linyuan,2024-05-31 01:00,29,Good,0,0.1
51,Daliao,2024-05-31 01:00,24,Good,4,0.09
50,Fengshan,2024-05-31 01:00,21,Good,3,0.19
49,Renwu,2024-05-31 01:00,24,Good,5,0.2
48,Qiaotou,2024-05-31 01:00,19,Good,6,0.3
47,Meinong,2024-05-31 01:00,19,Good,4,0.12
46,Tainan,2024-05-31 01:00,28,Good,7,0.19
45,Annan,2024-05-31 01:00,26,Good,6,0.24
44,Shanhua,2024-05-31 01:00,27,Good,9,0.1
43,Xinying,2024-05-31 01:00,22,Good,2,0.12
42,Chiayi,2024-05-31 01:00,22,Good,4,0.14
41,Taixi,2024-05-31 01:00,21,Good,3,0.15
40,Puzi,2024-05-31 01:00,19,Good,,0.16
39,Xingang,2024-05-31 01:00,27,Good,7,0.12
38,Lunbei,2024-05-31 01:00,26,Good,4,0.17
37,Douliu,2024-05-31 01:00,25,Good,5,0.13
36,Nantou,2024-05-31 01:00,26,Good,5,0.15
35,Erlin,2024-05-31 01:00,47,Good,10,0.16
34,Xianxi,2024-05-31 01:00,35,Good,5,0.18
33,Changhua,2024-05-31 01:00,33,Good,6,0.19
32,Xitun,2024-05-31 01:00,34,Good,10,0.2
31,Zhongming,2024-05-31 01:00,27,Good,6,0.22
30,Dali,2024-05-31 01:00,39,Good,9,0.23
29,Shalu,2024-05-31 01:00,33,Good,8,0.23
28,Fengyuan,2024-05-31 01:00,24,Good,6,0.19
27,Sanyi,2024-05-31 01:00,29,Good,6,0.17
26,Miaoli,2024-05-31 01:00,44,Good,13,0.25
25,Toufen,2024-05-31 01:00,40,Good,12,0.26
24,Hsinchu,2024-05-31 01:00,33,Good,12,0.28
23,Zhudong,2024-05-31 01:00,53,Moderate,19,0.25
22,Hukou,2024-05-31 01:00,50,Good,13,0.24
21,Longtan,2024-05-31 01:00,57,Moderate,21,0.43
20,Pingzhen,2024-05-31 01:00,40,Good,12,0.31
19,Guanyin,2024-05-31 01:00,30,Good,7,0.14
18,Dayuan,2024-05-31 01:00,41,Good,11,0.33
17,Taoyuan,2024-05-31 01:00,43,Good,11,0.33
16,Datong,2024-05-31 01:00,37,Good,10,0.83
15,Songshan,2024-05-31 01:00,46,Good,12,0.49
14,Guting,2024-05-31 01:00,27,Good,8,0.24
13,Wanhua,2024-05-31 01:00,39,Good,9,0.33
12,Zhongshan,2024-05-31 01:00,33,Good,11,0.37
11,Shilin,2024-05-31 01:00,38,Good,12,0.43
10,Tamsui,2024-05-31 01:00,36,Good,10,0.35
9,Linkou,2024-05-31 01:00,30,Good,9,0.27
8,Cailiao,2024-05-31 01:00,33,Good,13,0.46
7,Xinzhuang,2024-05-31 01:00,50,Good,22,0.57
6,Banqiao,2024-05-31 01:00,42,Good,13,0.55
5,Tucheng,2024-05-31 01:00,59,Moderate,19,0.47
4,Xindian,2024-05-31 01:00,36,Good,12,0.23
3,Wanli,2024-05-31 01:00,28,Good,9,0.28
2,Xizhi,2024-05-31 01:00,44,Good,13,0.48
1,Keelung,2024-05-31 01:00,28,Good,7,0.48
