pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
10.0,20.6,0.09,1.7,0.2,0.0,313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,
16.0,11.2,0.0,7.3,0.4,0.0,312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,
26.0,5.6,0.28,7.1,0.9,0.4,311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,
8.0,25.7,0.06,0.7,1.1,0.4,204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,
11.0,19.4,0.09,3.2,0.3,0.4,203,Tainan（Madou）,2024-05-31 03:00,17,Good,
6.0,17.1,0.14,4.8,1.0,1.2,202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,
27.0,8.7,0.21,8.4,1.5,1.5,201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,
8.0,20.0,0.07,4.1,0.7,1.2,85,Dacheng,2024-05-31 03:00,16,Good,
27.0,20.1,0.22,9.2,0.1,0.9,84,FugueiCape,2024-05-31 03:00,27,Good,
7.0,21.9,0.11,3.3,0.5,1.1,83,Mailiao,2024-05-31 03:00,21,Good,
28.0,5.2,0.1,1.6,1.2,0.3,80,Guanshan,2024-05-31 03:00,23,Good,
6.0,27.3,0.08,2.6,0.1,0.6,78,Magong,2024-05-31 03:00,26,Good,
36.0,4.0,0.38,27.3,1.6,1.7,77,Kinmen,2024-05-31 03:00,81,Moderate,
16.0,40.1,0.19,5.4,1.0,0.7,75,Matsu,2024-05-31 03:00,37,Good,
22.0,7.9,0.18,2.1,1.5,0.8,72,Puli,2024-05-31 03:00,33,Good,
4.0,21.1,0.11,4.0,1.3,4.2,71,Fuxing,2024-05-31 03:00,18,Good,
12.0,7.1,0.22,4.6,1.5,0.7,70,Yonghe,2024-05-31 03:00,57,Moderate,
31.0,3.6,0.1,4.7,1.3,0.7,69,Zhushan,2024-05-31 03:00,25,Good,
42.0,4.0,0.74,23.0,6.4,2.2,68,Zhongli,2024-05-31 03:00,53,Moderate,
27.0,4.1,0.45,15.1,4.3,0.6,67,Sanchong,2024-05-31 03:00,39,Good,
27.0,4.7,0.39,4.8,1.2,0.2,66,Dongshan,2024-05-31 03:00,24,Good,
17.0,9.0,0.15,2.4,0.5,1.6,65,Yilan,2024-05-31 03:00,17,Good,
13.0,30.5,0.15,2.3,0.7,0.6,64,Yangming,2024-05-31 03:00,26,Good,
10.0,11.4,0.16,1.1,0.7,0.1,63,Hualien,2024-05-31 03:00,20,Good,
17.0,13.0,0.09,2.8,1.3,0.6,62,Taitung,2024-05-31 03:00,17,Good,
12.0,30.1,0.07,0.6,0.3,0.1,61,Hengchun,2024-05-31 03:00,25,Good,
18.0,14.6,0.07,1.3,1.8,0.4,60,Chaozhou,2024-05-31 03:00,16,Good,
12.0,18.0,0.1,3.0,0.5,0.5,59,Pingtung,2024-05-31 03:00,20,Good,
9.0,20.0,0.11,6.8,0.4,1.4,58,Xiaogang,2024-05-31 03:00,31,Good,
5.0,21.4,0.09,5.8,0.3,6.8,57,Qianzhen,2024-05-31 03:00,17,Good,
4.0,21.9,0.12,4.3,0.2,1.3,56,Qianjin,2024-05-31 03:00,18,Good,
5.0,21.8,0.11,4.1,0.5,0.5,54,Zuoying,2024-05-31 03:00,26,Good,
9.0,20.1,0.1,7.4,0.8,0.9,53,Nanzi,2024-05-31 03:00,18,Good,
13.0,19.0,0.1,1.8,0.0,1.0,52,Linyuan,2024-05-31 03:00,26,Good,
7.0,16.9,0.09,3.1,0.3,0.4,51,Daliao,2024-05-31 03:00,21,Good,
4.0,22.6,0.1,1.5,0.1,0.5,50,Fengshan,2024-05-31 03:00,21,Good,
3.0,24.0,0.1,3.2,0.2,1.4,49,Renwu,2024-05-31 03:00,23,Good,
7.0,18.7,0.07,3.5,0.8,0.3,48,Qiaotou,2024-05-31 03:00,18,Good,
7.0,24.3,0.1,0.8,0.7,0.1,47,Meinong,2024-05-31 03:00,17,Good,
15.0,20.6,0.12,5.3,1.0,1.0,46,Tainan,2024-05-31 03:00,27,Good,
17.0,21.0,0.14,5.7,0.5,0.8,45,Annan,2024-05-31 03:00,24,Good,
7.0,20.5,0.06,2.1,0.5,0.3,44,Shanhua,2024-05-31 03:00,24,Good,
6.0,19.8,0.1,2.6,1.0,0.7,43,Xinying,2024-05-31 03:00,19,Good,
7.0,21.9,0.08,1.1,0.5,0.8,42,Chiayi,2024-05-31 03:00,19,Good,
12.0,20.6,0.11,3.8,0.5,1.1,41,Taixi,2024-05-31 03:00,19,Good,
12.0,18.7,0.1,4.0,1.2,1.1,40,Puzi,2024-05-31 03:00,17,Good,
11.0,22.4,0.09,2.4,0.5,0.9,39,Xingang,2024-05-31 03:00,22,Good,
13.0,20.6,0.11,1.7,0.0,0.2,38,Lunbei,2024-05-31 03:00,20,Good,
27.0,7.5,0.14,7.9,2.4,1.2,37,Douliu,2024-05-31 03:00,23,Good,
31.0,4.8,0.14,4.8,0.4,0.2,36,Nantou,2024-05-31 03:00,28,Good,
25.0,11.7,0.14,7.3,0.2,1.3,35,Erlin,2024-05-31 03:00,44,Good,
20.0,4.3,0.21,9.1,2.0,0.3,34,Xianxi,2024-05-31 03:00,28,Good,
13.0,16.2,0.13,5.1,0.8,0.6,33,Changhua,2024-05-31 03:00,23,Good,
25.0,6.8,0.17,6.5,1.0,0.7,32,Xitun,2024-05-31 03:00,30,Good,
19.0,6.2,0.22,6.5,0.9,1.4,31,Zhongming,2024-05-31 03:00,26,Good,
12.0,8.8,0.14,4.6,0.0,0.9,30,Dali,2024-05-31 03:00,31,Good,
12.0,18.0,0.17,6.2,1.0,0.7,29,Shalu,2024-05-31 03:00,26,Good,
14.0,19.6,0.14,3.6,0.9,0.7,28,Fengyuan,2024-05-31 03:00,19,Good,
12.0,20.1,0.12,1.5,0.9,0.7,27,Sanyi,2024-05-31 03:00,24,Good,
20.0,0.2,0.21,11.0,4.5,0.7,26,Miaoli,2024-05-31 03:00,44,Good,
26.0,6.7,0.2,4.5,1.2,0.9,25,Toufen,2024-05-31 03:00,36,Good,
25.0,17.4,0.27,9.4,0.9,0.5,24,Hsinchu,2024-05-31 03:00,35,Good,
22.0,8.1,0.24,4.6,0.7,0.8,23,Zhudong,2024-05-31 03:00,54,Moderate,
26.0,17.4,0.27,10.6,2.1,0.4,22,Hukou,2024-05-31 03:00,51,Moderate,
27.0,4.8,0.32,15.8,4.3,0.2,21,Longtan,2024-05-31 03:00,59,Moderate,
34.0,4.0,0.41,23.7,1.3,1.1,20,Pingzhen,2024-05-31 03:00,44,Good,
25.0,19.3,0.22,8.6,1.5,0.4,19,Guanyin,2024-05-31 03:00,35,Good,
32.0,17.8,0.3,9.8,0.1,1.4,18,Dayuan,2024-05-31 03:00,49,Good,
31.0,8.0,0.44,20.0,1.1,2.0,17,Taoyuan,2024-05-31 03:00,49,Good,
18.0,4.8,0.57,13.3,8.6,1.0,16,Datong,2024-05-31 03:00,38,Good,
18.0,5.7,0.34,13.6,2.0,0.0,15,Songshan,2024-05-31 03:00,44,Good,
15.0,7.7,0.19,3.6,1.0,2.4,14,Guting,2024-05-31 03:00,25,Good,
21.0,7.5,0.28,8.8,1.6,0.1,13,Wanhua,2024-05-31 03:00,31,Good,
18.0,7.3,0.3,10.0,1.0,0.3,12,Zhongshan,2024-05-31 03:00,31,Good,
21.0,9.0,0.32,11.1,0.4,0.8,11,Shilin,2024-05-31 03:00,39,Good,
22.0,7.1,0.34,14.7,1.0,1.6,10,Tamsui,2024-05-31 03:00,36,Good,
21.0,14.3,0.37,19.9,7.6,1.4,9,Linkou,2024-05-31 03:00,33,Good,
24.0,2.5,0.5,19.1,1.8,0.8,8,Cailiao,2024-05-31 03:00,37,Good,
19.0,7.8,0.41,16.2,0.4,0.8,7,Xinzhuang,2024-05-31 03:00,53,Moderate,
27.0,4.6,0.43,18.4,0.9,0.7,6,Banqiao,2024-05-31 03:00,40,Good,
30.0,3.8,0.38,14.7,1.8,0.1,5,Tucheng,2024-05-31 03:00,55,Moderate,
18.0,9.2,0.19,2.7,1.1,1.1,4,Xindian,2024-05-31 03:00,37,Good,
20.0,4.3,0.3,6.7,0.8,0.3,3,Wanli,2024-05-31 03:00,24,Good,
21.0,1.6,0.43,15.5,9.0,0.8,2,Xizhi,2024-05-31 03:00,43,Good,
22.0,2.1,0.37,11.3,2.0,0.5,1,Keelung,2024-05-31 03:00,23,Good,
10.0,26.2,0.09,1.4,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,
18.0,9.7,,10.6,0.8,0.1,312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,
24.0,3.4,0.33,11.3,4.4,0.4,311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,
5.0,26.1,0.07,0.6,1.3,0.4,204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,
10.0,22.4,0.1,3.8,0.2,0.4,203,Tainan（Madou）,2024-05-31 02:00,18,Good,
6.0,16.3,0.24,6.4,1.0,,202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,
17.0,15.3,0.2,6.8,1.0,1.7,201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,
10.0,15.0,0.1,5.6,0.3,1.3,85,Dacheng,2024-05-31 02:00,18,Good,
27.0,21.2,0.21,9.5,0.2,0.6,84,FugueiCape,2024-05-31 02:00,28,Good,
16.0,18.0,0.13,5.6,0.4,1.3,83,Mailiao,2024-05-31 02:00,22,Good,
30.0,4.4,0.1,1.7,1.9,0.1,80,Guanshan,2024-05-31 02:00,21,Good,
3.0,30.7,0.09,2.1,0.5,0.5,78,Magong,2024-05-31 02:00,27,Good,
30.0,4.9,0.36,25.7,1.6,1.2,77,Kinmen,2024-05-31 02:00,78,Moderate,
7.0,25.7,0.18,15.6,1.1,1.5,75,Matsu,2024-05-31 02:00,38,Good,
24.0,7.1,0.18,3.1,1.6,0.9,72,Puli,2024-05-31 02:00,33,Good,
7.0,21.3,0.12,5.6,0.8,3.7,71,Fuxing,2024-05-31 02:00,18,Good,
12.0,7.6,0.24,5.4,1.3,0.7,70,Yonghe,2024-05-31 02:00,59,Moderate,
25.0,3.6,0.11,5.7,1.0,0.7,69,Zhushan,2024-05-31 02:00,24,Good,
30.0,8.8,0.62,26.1,4.0,2.2,68,Zhongli,2024-05-31 02:00,51,Moderate,
18.0,2.5,0.52,17.0,4.8,0.7,67,Sanchong,2024-05-31 02:00,39,Good,
20.0,6.9,0.3,4.0,0.8,0.3,66,Dongshan,2024-05-31 02:00,24,Good,
19.0,8.8,0.15,2.8,0.5,1.6,65,Yilan,2024-05-31 02:00,19,Good,
14.0,29.9,0.17,3.2,0.8,0.7,64,Yangming,2024-05-31 02:00,25,Good,
6.0,17.0,0.16,1.1,0.8,0.3,63,Hualien,2024-05-31 02:00,22,Good,
22.0,8.5,0.1,4.4,1.6,0.6,62,Taitung,2024-05-31 02:00,17,Good,
18.0,24.7,0.07,1.0,0.3,0.1,61,Hengchun,2024-05-31 02:00,25,Good,
12.0,16.4,0.07,1.4,1.8,0.5,60,Chaozhou,2024-05-31 02:00,18,Good,
5.0,22.4,0.1,3.1,0.5,0.5,59,Pingtung,2024-05-31 02:00,21,Good,
7.0,20.5,0.1,6.2,0.6,1.0,58,Xiaogang,2024-05-31 02:00,33,Good,
8.0,20.0,0.11,6.9,0.8,4.8,57,Qianzhen,2024-05-31 02:00,16,Good,
9.0,19.5,0.14,6.3,0.4,1.8,56,Qianjin,2024-05-31 02:00,18,Good,
6.0,18.0,0.15,7.1,0.5,1.7,54,Zuoying,2024-05-31 02:00,29,Good,
5.0,14.4,0.12,13.4,0.9,4.4,53,Nanzi,2024-05-31 02:00,22,Good,
11.0,22.3,0.1,1.8,0.0,0.8,52,Linyuan,2024-05-31 02:00,27,Good,
7.0,19.9,0.09,2.4,0.2,0.4,51,Daliao,2024-05-31 02:00,23,Good,
5.0,23.9,0.1,1.7,0.1,0.5,50,Fengshan,2024-05-31 02:00,21,Good,
3.0,23.4,0.1,3.5,0.0,1.8,49,Renwu,2024-05-31 02:00,24,Good,
6.0,18.2,0.11,6.6,0.9,1.6,48,Qiaotou,2024-05-31 02:00,18,Good,
14.0,23.1,0.1,1.5,0.5,0.0,47,Meinong,2024-05-31 02:00,18,Good,
15.0,18.8,0.2,7.6,0.7,1.4,46,Tainan,2024-05-31 02:00,28,Good,
16.0,18.9,0.21,8.0,0.7,1.1,45,Annan,2024-05-31 02:00,25,Good,
10.0,22.3,0.07,1.5,0.5,0.3,44,Shanhua,2024-05-31 02:00,26,Good,
11.0,18.7,0.12,3.4,1.2,0.8,43,Xinying,2024-05-31 02:00,20,Good,
13.0,20.4,0.09,2.2,0.7,1.1,42,Chiayi,2024-05-31 02:00,20,Good,
17.0,20.6,0.13,4.1,0.3,1.0,41,Taixi,2024-05-31 02:00,21,Good,
21.0,16.8,0.12,5.5,1.3,1.4,40,Puzi,2024-05-31 02:00,19,Good,
15.0,22.1,0.11,2.4,1.3,1.0,39,Xingang,2024-05-31 02:00,25,Good,
15.0,15.0,0.13,3.1,0.1,0.4,38,Lunbei,2024-05-31 02:00,22,Good,
29.0,6.0,0.18,11.3,1.7,1.1,37,Douliu,2024-05-31 02:00,23,Good,
32.0,3.2,0.16,7.0,0.1,0.1,36,Nantou,2024-05-31 02:00,27,Good,
26.0,4.5,0.18,10.8,0.6,1.5,35,Erlin,2024-05-31 02:00,45,Good,
21.0,6.6,0.23,9.0,1.7,0.2,34,Xianxi,2024-05-31 02:00,32,Good,
17.0,20.3,0.12,5.0,0.4,0.6,33,Changhua,2024-05-31 02:00,27,Good,
21.0,8.7,0.18,8.1,1.3,0.7,32,Xitun,2024-05-31 02:00,31,Good,
19.0,11.4,0.22,5.2,0.6,1.4,31,Zhongming,2024-05-31 02:00,26,Good,
18.0,10.1,0.18,5.0,0.0,1.1,30,Dali,2024-05-31 02:00,36,Good,
15.0,15.6,0.18,9.3,1.0,0.9,29,Shalu,2024-05-31 02:00,28,Good,
15.0,19.3,0.15,4.2,0.6,0.9,28,Fengyuan,2024-05-31 02:00,22,Good,
15.0,18.0,0.15,2.9,0.7,0.6,27,Sanyi,2024-05-31 02:00,26,Good,
19.0,5.2,0.23,10.8,1.8,0.9,26,Miaoli,2024-05-31 02:00,46,Good,
23.0,9.4,0.22,5.9,1.1,0.6,25,Toufen,2024-05-31 02:00,38,Good,
22.0,18.9,0.28,12.7,0.9,0.6,24,Hsinchu,2024-05-31 02:00,34,Good,
29.0,8.3,0.24,4.5,0.8,0.7,23,Zhudong,2024-05-31 02:00,54,Moderate,
24.0,12.0,0.3,16.8,3.1,0.2,22,Hukou,2024-05-31 02:00,49,Good,
33.0,0.1,0.41,22.4,9.1,0.3,21,Longtan,2024-05-31 02:00,59,Moderate,
38.0,15.5,0.37,20.6,0.3,1.0,20,Pingzhen,2024-05-31 02:00,41,Good,
26.0,18.4,0.22,7.6,1.9,0.8,19,Guanyin,2024-05-31 02:00,31,Good,
27.0,16.2,0.3,10.1,0.0,1.2,18,Dayuan,2024-05-31 02:00,46,Good,
22.0,14.4,0.4,18.2,0.6,2.2,17,Taoyuan,2024-05-31 02:00,45,Good,
29.0,2.3,0.67,18.1,12.0,1.0,16,Datong,2024-05-31 02:00,40,Good,
18.0,9.7,0.33,12.0,0.9,0.3,15,Songshan,2024-05-31 02:00,46,Good,
13.0,8.6,0.22,4.8,1.1,,14,Guting,2024-05-31 02:00,25,Good,
21.0,6.6,0.34,12.8,2.6,0.2,13,Wanhua,2024-05-31 02:00,35,Good,
19.0,6.6,0.34,11.0,0.9,0.4,12,Zhongshan,2024-05-31 02:00,34,Good,
22.0,8.9,0.33,14.5,0.4,1.0,11,Shilin,2024-05-31 02:00,39,Good,
27.0,8.7,0.34,15.8,0.7,1.4,10,Tamsui,2024-05-31 02:00,36,Good,
26.0,14.3,0.33,,,2.0,9,Linkou,2024-05-31 02:00,31,Good,
15.0,2.1,0.52,17.9,1.4,1.0,8,Cailiao,2024-05-31 02:00,36,Good,
24.0,8.8,0.45,17.1,0.9,1.2,7,Xinzhuang,2024-05-31 02:00,50,Good,
26.0,2.8,0.5,20.9,1.5,0.6,6,Banqiao,2024-05-31 02:00,42,Good,
23.0,1.9,0.46,18.6,4.0,0.3,5,Tucheng,2024-05-31 02:00,57,Moderate,
21.0,9.9,0.21,3.9,1.3,1.1,4,Xindian,2024-05-31 02:00,35,Good,
21.0,6.3,0.34,10.9,0.8,0.4,3,Wanli,2024-05-31 02:00,26,Good,
19.0,0.6,0.49,16.0,13.2,1.2,2,Xizhi,2024-05-31 02:00,43,Good,
21.0,1.8,0.39,13.6,2.2,0.6,1,Keelung,2024-05-31 02:00,22,Good,
13.0,29.2,0.08,1.8,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,
12.0,19.7,0.03,8.8,2.1,0.3,312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,
27.0,8.8,0.28,7.9,0.6,0.8,311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,
7.0,24.2,0.06,0.9,1.2,0.6,204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,
17.0,18.2,0.13,4.6,0.9,0.5,203,Tainan（Madou）,2024-05-31 01:00,19,Good,
10.0,15.6,0.17,8.3,1.1,1.1,202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,
20.0,14.4,0.22,7.9,0.5,1.6,201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,
15.0,12.3,0.13,6.0,0.1,0.9,85,Dacheng,2024-05-31 01:00,20,Good,
23.0,28.8,0.16,5.4,0.1,0.5,84,FugueiCape,2024-05-31 01:00,30,Good,
15.0,17.0,0.16,6.1,0.3,1.5,83,Mailiao,2024-05-31 01:00,22,Good,
35.0,6.0,0.11,1.7,0.2,0.4,80,Guanshan,2024-05-31 01:00,18,Good,
4.0,29.7,0.1,2.6,1.0,1.0,78,Magong,2024-05-31 01:00,27,Good,
35.0,2.8,0.33,25.9,1.6,1.6,77,Kinmen,2024-05-31 01:00,76,Moderate,
18.0,28.6,0.2,14.9,0.8,1.3,75,Matsu,2024-05-31 01:00,39,Good,
22.0,8.9,0.19,3.8,1.4,0.9,72,Puli,2024-05-31 01:00,35,Good,
8.0,14.3,0.37,12.2,1.8,1.4,71,Fuxing,2024-05-31 01:00,20,Good,
8.0,6.5,0.37,10.1,1.7,0.9,70,Yonghe,2024-05-31 01:00,59,Moderate,
31.0,5.1,0.12,4.3,0.6,0.8,69,Zhushan,2024-05-31 01:00,30,Good,
34.0,12.4,0.61,22.9,4.5,1.7,68,Zhongli,2024-05-31 01:00,46,Good,
22.0,2.6,0.86,30.3,25.4,1.1,67,Sanchong,2024-05-31 01:00,50,Good,
21.0,8.9,0.31,3.7,0.6,0.6,66,Dongshan,2024-05-31 01:00,24,Good,
12.0,8.0,0.17,2.7,0.4,0.4,65,Yilan,2024-05-31 01:00,23,Good,
17.0,29.9,0.16,2.3,0.5,0.7,64,Yangming,2024-05-31 01:00,25,Good,
16.0,15.4,0.17,1.7,0.2,0.3,63,Hualien,2024-05-31 01:00,25,Good,
23.0,9.7,0.12,1.9,1.6,0.0,62,Taitung,2024-05-31 01:00,19,Good,
9.0,27.6,0.1,0.8,0.5,0.3,61,Hengchun,2024-05-31 01:00,27,Good,
10.0,22.3,0.06,0.7,0.2,0.5,60,Chaozhou,2024-05-31 01:00,19,Good,
8.0,24.8,0.1,2.5,0.4,0.4,59,Pingtung,2024-05-31 01:00,21,Good,
23.0,13.3,0.64,20.1,4.8,16.6,58,Xiaogang,2024-05-31 01:00,40,Good,
14.0,14.9,0.29,11.4,1.3,1.7,57,Qianzhen,2024-05-31 01:00,18,Good,
13.0,17.8,0.16,9.5,0.0,1.0,56,Qianjin,2024-05-31 01:00,19,Good,
3.0,17.7,0.18,7.7,0.0,1.6,54,Zuoying,2024-05-31 01:00,31,Good,
7.0,17.4,0.22,11.2,0.6,1.1,53,Nanzi,2024-05-31 01:00,19,Good,
14.0,26.9,0.1,0.8,0.7,0.6,52,Linyuan,2024-05-31 01:00,29,Good,
11.0,23.5,0.09,1.8,0.2,0.3,51,Daliao,2024-05-31 01:00,24,Good,
8.0,21.4,0.19,5.1,0.6,0.7,50,Fengshan,2024-05-31 01:00,21,Good,
6.0,22.9,0.2,7.1,0.8,3.3,49,Renwu,2024-05-31 01:00,24,Good,
7.0,16.5,0.3,9.9,0.3,1.7,48,Qiaotou,2024-05-31 01:00,19,Good,
14.0,19.2,0.12,2.3,1.2,0.5,47,Meinong,2024-05-31 01:00,19,Good,
16.0,15.5,0.19,11.3,0.5,2.3,46,Tainan,2024-05-31 01:00,28,Good,
11.0,16.7,0.24,11.6,1.7,2.4,45,Annan,2024-05-31 01:00,26,Good,
13.0,17.9,0.1,2.8,1.2,0.2,44,Shanhua,2024-05-31 01:00,27,Good,
13.0,20.6,0.12,3.1,0.4,0.0,43,Xinying,2024-05-31 01:00,22,Good,
18.0,13.8,0.14,5.7,1.2,1.3,42,Chiayi,2024-05-31 01:00,22,Good,
17.0,18.4,0.15,4.9,0.9,1.6,41,Taixi,2024-05-31 01:00,21,Good,
21.0,16.4,0.16,5.9,1.3,1.4,40,Puzi,2024-05-31 01:00,19,Good,
18.0,19.5,0.12,3.5,1.5,0.2,39,Xingang,2024-05-31 01:00,27,Good,
16.0,13.8,0.17,2.7,1.5,0.8,38,Lunbei,2024-05-31 01:00,26,Good,
23.0,9.4,0.13,2.7,1.1,0.9,37,Douliu,2024-05-31 01:00,25,Good,
32.0,5.3,0.15,5.5,0.8,0.2,36,Nantou,2024-05-31 01:00,26,Good,
29.0,8.8,0.16,8.3,0.8,0.4,35,Erlin,2024-05-31 01:00,47,Good,
31.0,14.4,0.18,4.1,1.2,0.4,34,Xianxi,2024-05-31 01:00,35,Good,
20.0,15.9,0.19,8.7,1.6,0.9,33,Changhua,2024-05-31 01:00,33,Good,
29.0,7.7,0.2,9.8,1.2,0.8,32,Xitun,2024-05-31 01:00,34,Good,
21.0,11.8,0.22,6.6,1.0,0.7,31,Zhongming,2024-05-31 01:00,27,Good,
20.0,8.4,0.23,7.0,0.6,1.2,30,Dali,2024-05-31 01:00,39,Good,
16.0,16.6,0.23,8.5,0.0,0.9,29,Shalu,2024-05-31 01:00,33,Good,
23.0,18.3,0.19,4.9,0.8,0.0,28,Fengyuan,2024-05-31 01:00,24,Good,
18.0,17.6,0.17,2.1,0.9,0.5,27,Sanyi,2024-05-31 01:00,29,Good,
22.0,7.9,0.25,13.0,1.5,1.2,26,Miaoli,2024-05-31 01:00,44,Good,
25.0,11.7,0.26,8.6,1.4,1.3,25,Toufen,2024-05-31 01:00,40,Good,
25.0,25.6,0.28,10.8,0.9,2.0,24,Hsinchu,2024-05-31 01:00,33,Good,
37.0,7.7,0.25,5.5,0.5,0.2,23,Zhudong,2024-05-31 01:00,53,Moderate,
23.0,21.5,0.24,7.8,0.6,0.5,22,Hukou,2024-05-31 01:00,50,Good,
44.0,0.5,0.43,24.2,5.1,0.9,21,Longtan,2024-05-31 01:00,57,Moderate,
46.0,14.4,0.31,24.2,0.0,0.8,20,Pingzhen,2024-05-31 01:00,40,Good,
18.0,31.9,0.14,4.9,0.2,0.8,19,Guanyin,2024-05-31 01:00,30,Good,
25.0,22.6,0.33,11.2,1.2,1.4,18,Dayuan,2024-05-31 01:00,41,Good,
25.0,22.3,0.33,12.0,0.5,1.4,17,Taoyuan,2024-05-31 01:00,43,Good,
20.0,3.9,0.83,16.3,10.1,0.8,16,Datong,2024-05-31 01:00,37,Good,
18.0,4.5,0.49,21.2,4.9,0.5,15,Songshan,2024-05-31 01:00,46,Good,
15.0,8.3,0.24,6.7,1.2,1.9,14,Guting,2024-05-31 01:00,27,Good,
14.0,8.1,0.33,10.9,1.3,0.3,13,Wanhua,2024-05-31 01:00,39,Good,
8.0,8.2,0.37,13.3,1.1,0.6,12,Zhongshan,2024-05-31 01:00,33,Good,
25.0,4.4,0.43,23.4,1.4,0.6,11,Shilin,2024-05-31 01:00,38,Good,
22.0,11.8,0.35,11.5,1.2,0.9,10,Tamsui,2024-05-31 01:00,36,Good,
25.0,18.9,0.27,,,3.1,9,Linkou,2024-05-31 01:00,30,Good,
21.0,7.8,0.46,18.3,1.4,1.0,8,Cailiao,2024-05-31 01:00,33,Good,
23.0,8.7,0.57,20.4,1.1,0.9,7,Xinzhuang,2024-05-31 01:00,50,Good,
28.0,2.9,0.55,25.0,2.7,0.9,6,Banqiao,2024-05-31 01:00,42,Good,
32.0,4.0,0.47,20.4,2.6,0.2,5,Tucheng,2024-05-31 01:00,59,Moderate,
28.0,8.6,0.23,5.0,1.3,0.8,4,Xindian,2024-05-31 01:00,36,Good,
27.0,6.8,0.28,6.1,1.1,0.0,3,Wanli,2024-05-31 01:00,28,Good,
25.0,0.4,0.48,18.7,14.9,1.7,2,Xizhi,2024-05-31 01:00,44,Good,
29.0,0.7,0.48,17.5,10.6,1.0,1,Keelung,2024-05-31 01:00,28,Good,
22.0,31.2,0.08,1.0,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,
13.0,21.5,0.05,8.6,2.2,0.1,312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,
26.0,4.6,0.39,13.1,2.0,0.9,311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,
11.0,25.8,0.06,0.7,1.1,0.5,204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,
14.0,15.4,0.15,13.0,0.8,0.5,203,Tainan（Madou）,2024-05-31 00:00,22,Good,
