siteid,datacreationdate,aqi,status,pm2.5,no2,so2,o3,co,pm10,no
28,2024-05-27 05:00,58,Moderate,14,4.9,1.2,14.3,0.22,19,0.9
27,2024-05-27 05:00,56,Moderate,9,2.6,0.7,14.8,0.17,20,0.9
26,2024-05-27 05:00,59,Moderate,19,5.2,0.7,6.1,0.2,23,1.9
25,2024-05-27 05:00,53,Moderate,18,4.6,0.8,6.3,0.21,26,1.3
24,2024-05-27 05:00,47,Good,16,9.2,0.1,4.4,0.28,27,1.3
23,2024-05-27 05:00,52,Moderate,14,3.6,1.2,6.4,0.18,25,0.6
22,2024-05-27 05:00,65,Moderate,25,9.9,0.8,11,0.23,27,1.4
21,2024-05-27 05:00,54,Moderate,11,6.9,0.7,9.7,0.2,23,1
20,2024-05-27 05:00,52,Moderate,14,6.7,0,11.6,0.23,22,0.8
19,2024-05-27 05:00,69,Moderate,25,13,0.3,3.6,0.32,31,0.9
18,2024-05-27 05:00,62,Moderate,16,20.4,0.6,1.5,0.39,38,3.9
17,2024-05-27 05:00,54,Moderate,21,16.6,5.9,2.2,0.5,35,2
16,2024-05-27 05:00,41,Good,8,6.7,0.4,5.5,0.33,23,3.7
15,2024-05-27 05:00,38,Good,12,10,0.5,3.4,0.36,23,1.8
14,2024-05-27 05:00,20,Good,7,4.2,0.8,4.6,0.16,16,1.1
13,2024-05-27 05:00,31,Good,5,5.9,0.2,5.8,0.22,21,1.2
12,2024-05-27 05:00,35,Good,6,8.7,0.2,6.4,0.27,20,0.9
11,2024-05-27 05:00,41,Good,6,7.7,0.7,2.6,0.25,15,0.9
10,2024-05-27 05:00,44,Good,13,16.6,0.1,0.7,0.5,24,2.6
9,2024-05-27 05:00,51,Moderate,14,12.2,0.7,7.8,0.39,22,11
8,2024-05-27 05:00,27,Good,4,6.6,0.5,4.5,0.23,21,0.5
7,2024-05-27 05:00,46,Good,15,15.2,0.4,0,0.52,21,7
6,2024-05-27 05:00,25,Good,8,9.7,0.3,2.2,0.29,19,1.7
5,2024-05-27 05:00,41,Good,10,8.6,0.2,1.3,0.27,32,4.4
4,2024-05-27 05:00,26,Good,6,3.3,0.4,7.1,0.17,26,1.2
3,2024-05-27 05:00,17,Good,6,1.5,0.7,8.3,0.16,19,0.8
2,2024-05-27 05:00,32,Good,9,9.1,0.2,0.7,0.26,34,8.8
1,2024-05-27 05:00,23,Good,8,7.1,0.8,2.2,0.28,22,0.9
313,2024-05-27 04:00,9,Good,0,3.8,0.2,6.3,0.06,9,0.8
312,2024-05-27 04:00,60,Moderate,17,9,0.6,7.3,0.23,28,0.8
311,2024-05-27 04:00,44,Good,14,3.7,0,5.1,0.2,27,0.6
204,2024-05-27 04:00,24,Good,2,2.6,0.8,8.7,0.06,8,0.6
203,2024-05-27 04:00,27,Good,2,5.3,0.2,0.8,0.13,19,1.5
202,2024-05-27 04:00,21,Good,8,8,1.3,3.5,0.22,11,1.9
201,2024-05-27 04:00,74,Moderate,24,9.2,1.6,6.6,0.29,33,1
85,2024-05-27 04:00,50,Good,23,8.3,0.8,5.3,0.21,33,1.6
84,2024-05-27 04:00,36,Good,7,0.6,0.4,30.2,0.11,14,0
83,2024-05-27 04:00,60,Moderate,24,8.9,1.5,3.4,0.32,38,0.9
80,2024-05-27 04:00,19,Good,2,2.1,0.8,5.5,0.08,19,0.4
78,2024-05-27 04:00,27,Good,3,5.4,1,15.5,0.12,8,0.3
77,2024-05-27 04:00,17,Good,0,10.1,1,4.6,0.2,9,0.9
75,2024-05-27 04:00,32,Good,13,6.2,0.8,25.8,0.13,25,0.4
72,2024-05-27 04:00,74,Moderate,22,5.1,1,2.7,0.25,44,1.5
71,2024-05-27 04:00,20,Good,4,8.7,0.2,3.2,0.19,15,1.5
70,2024-05-27 04:00,33,Good,9,6.6,0.6,2.5,0.27,20,1.5
69,2024-05-27 04:00,60,Moderate,8,4.6,1,6.8,0.11,27,0.8
68,2024-05-27 04:00,60,Moderate,16,8.1,0,11.4,0.4,33,3.2
67,2024-05-27 04:00,34,Good,8,8.7,1,4.9,0.33,23,5.8
66,2024-05-27 04:00,22,Good,5,4.2,0.2,1.4,0.16,29,2.4
65,2024-05-27 04:00,18,Good,10,3.4,3.4,4.5,0.16,16,0.5
64,2024-05-27 04:00,23,Good,5,1.5,0.6,29.1,0.17,11,0.8
63,2024-05-27 04:00,29,Good,8,2,0.4,1.9,0.13,15,0.7
62,2024-05-27 04:00,17,Good,0,2.6,0.3,5.3,0.07,19,0.8
61,2024-05-27 04:00,13,Good,2,1.6,0,11.6,0.09,9,0.7
60,2024-05-27 04:00,29,Good,6,5.7,0.7,0.1,0.13,34,5.3
59,2024-05-27 04:00,20,Good,5,4.6,0.2,4.8,0.1,18,0.9
58,2024-05-27 04:00,34,Good,6,8.2,0.2,2.8,0.13,16,1.2
57,2024-05-27 04:00,23,Good,4,8.8,1,3.4,0.17,15,1
56,2024-05-27 04:00,19,Good,4,9.5,0.2,3.3,0.25,14,0.9
54,2024-05-27 04:00,28,Good,9,8.5,0.9,3.2,0.21,12,1
53,2024-05-27 04:00,20,Good,8,9.3,0.8,1.8,0.18,21,1.2
52,2024-05-27 04:00,27,Good,11,7.4,0.5,1.2,0.16,44,1
51,2024-05-27 04:00,25,Good,6,8,3.7,0.3,0.16,19,3
50,2024-05-27 04:00,22,Good,4,6.3,1.1,3.6,0.16,13,1
49,2024-05-27 04:00,27,Good,8,6.8,1.6,5.9,0.14,21,0.1
48,2024-05-27 04:00,23,Good,9,7.3,1.3,2.6,0.12,19,1.1
47,2024-05-27 04:00,13,Good,1,3.1,1.1,6.1,0.11,11,0.5
46,2024-05-27 04:00,37,Good,12,8.2,0.7,7.4,0.13,14,0.7
45,2024-05-27 04:00,37,Good,8,9.1,0.5,3.1,0.18,17,1
44,2024-05-27 04:00,26,Good,5,4.5,0.7,2.6,0.09,17,1.4
43,2024-05-27 04:00,32,Good,5,6.3,0.3,0.7,0.2,27,3.2
42,2024-05-27 04:00,31,Good,4,4.5,1.1,8.3,0.12,21,0.8
41,2024-05-27 04:00,55,Moderate,21,13.1,1,1.1,0.32,36,1.4
40,2024-05-27 04:00,59,Moderate,14,13.4,1.2,0,0.25,32,2.9
39,2024-05-27 04:00,64,Moderate,10,9.6,0.8,3,0.2,36,2.4
38,2024-05-27 04:00,63,Moderate,26,9,1,0.2,0.35,38,3
37,2024-05-27 04:00,55,Moderate,6,6.6,1,9,0.14,21,1.1
36,2024-05-27 04:00,66,Moderate,12,7,0.3,2.8,0.17,36,1.1
35,2024-05-27 04:00,65,Moderate,20,8.1,0.4,3,0.28,45,1.7
34,2024-05-27 04:00,47,Good,20,13.7,0.9,2.5,0.32,27,0.4
33,2024-05-27 04:00,55,Moderate,20,9.7,2.8,8.5,0.26,30,1.4
32,2024-05-27 04:00,65,Moderate,24,8.2,1,9.1,0.29,37,0.9
31,2024-05-27 04:00,54,Moderate,24,8.6,0.8,11.1,0.33,32,1.4
30,2024-05-27 04:00,69,Moderate,27,5.4,1.1,10.5,0.24,22,0.4
29,2024-05-27 04:00,65,Moderate,26,8.3,0.5,15.3,0.27,45,0.5
28,2024-05-27 04:00,62,Moderate,13,4.6,1.1,14.3,0.19,24,0.7
27,2024-05-27 04:00,64,Moderate,9,2.8,0.9,15,0.19,18,1.2
26,2024-05-27 04:00,57,Moderate,15,5.2,0.8,5.7,0.21,28,1.7
25,2024-05-27 04:00,53,Moderate,15,3.8,0.7,7.2,0.21,25,1.3
24,2024-05-27 04:00,46,Good,17,10,0,11.4,0.25,26,1.4
23,2024-05-27 04:00,55,Moderate,16,3.1,1,5.6,0.18,27,0.8
22,2024-05-27 04:00,62,Moderate,17,7.1,0.8,14.4,0.22,24,1
21,2024-05-27 04:00,55,Moderate,15,7.8,0.9,13.1,0.23,25,1
20,2024-05-27 04:00,53,Moderate,13,9.9,0,12.9,0.3,25,0.6
19,2024-05-27 04:00,68,Moderate,27,10.5,0.4,8.5,0.3,32,0.8
18,2024-05-27 04:00,63,Moderate,23,20.6,0.7,2.7,0.46,35,3.4
17,2024-05-27 04:00,51,Moderate,19,22.2,3.4,1.6,0.49,26,2.8
16,2024-05-27 04:00,43,Good,6,9.3,0.5,4.7,0.37,21,3.2
15,2024-05-27 04:00,40,Good,8,11.5,0.3,3.1,0.36,23,2.3
14,2024-05-27 04:00,20,Good,5,6.2,1,4.1,0.2,18,1
13,2024-05-27 04:00,33,Good,8,6.7,0.3,5.7,0.23,19,1.4
12,2024-05-27 04:00,38,Good,9,8.7,0.3,6,0.26,23,0.8
11,2024-05-27 04:00,41,Good,16,11.3,0.6,1.8,0.31,24,0.9
10,2024-05-27 04:00,44,Good,12,17.9,0.1,1.1,0.54,26,2
9,2024-05-27 04:00,53,Moderate,12,16.4,1.1,11.7,0.4,25,4.9
8,2024-05-27 04:00,30,Good,7,9.1,0.6,4.3,0.28,25,0.6
7,2024-05-27 04:00,44,Good,18,16.1,0.5,1,0.5,21,3.9
6,2024-05-27 04:00,25,Good,7,12.9,0.3,3.1,0.37,23,1.5
5,2024-05-27 04:00,44,Good,15,8.4,0.3,3.3,0.27,35,2
4,2024-05-27 04:00,28,Good,8,2.7,0.4,7.3,0.16,17,1
3,2024-05-27 04:00,17,Good,3,1.8,0.8,8.4,0.16,18,0.9
2,2024-05-27 04:00,32,Good,9,10,0.4,0.6,0.28,23,10.3
1,2024-05-27 04:00,23,Good,7,8.7,0.8,2.9,0.29,24,0.9
313,2024-05-27 03:00,10,Good,0,3.1,0.2,8.4,0.06,9,0.6
312,2024-05-27 03:00,59,Moderate,23,8.1,0.6,6.4,0.23,35,1.1
311,2024-05-27 03:00,44,Good,16,4.1,0,6.2,0.2,33,0.5
204,2024-05-27 03:00,30,Good,5,1.4,0.9,13.3,0.03,8,0.6
203,2024-05-27 03:00,31,Good,2,6,0.2,0.5,0.15,23,1.6
202,2024-05-27 03:00,21,Good,10,8.5,1.4,2.2,0.22,15,2.6
201,2024-05-27 03:00,73,Moderate,29,11.6,1.6,4.8,0.35,41,1
85,2024-05-27 03:00,44,Good,16,7.1,0.8,6.2,0.17,26,1
84,2024-05-27 03:00,36,Good,6,1.1,0.6,34,0.14,13,0
83,2024-05-27 03:00,55,Moderate,24,7.1,1.4,8.1,0.28,35,0.4
80,2024-05-27 03:00,19,Good,3,2.6,0.7,4.1,0.08,27,0.4
78,2024-05-27 03:00,30,Good,8,7.2,1.1,15.4,0.19,19,0.4
77,2024-05-27 03:00,20,Good,2,12.2,1.1,3.5,0.2,6,1.3
75,2024-05-27 03:00,29,Good,15,6.7,1,28.7,0.13,23,0.3
72,2024-05-27 03:00,74,Moderate,25,5.7,1,3.3,0.29,42,1.5
71,2024-05-27 03:00,23,Good,3,7.9,0.3,4.9,0.2,12,1.2
70,2024-05-27 03:00,33,Good,8,5.2,0.7,5.1,0.23,23,0.8
69,2024-05-27 03:00,67,Moderate,12,4.5,1,7.8,0.12,28,0.9
68,2024-05-27 03:00,60,Moderate,20,12.1,0.1,9.3,0.55,30,3.7
67,2024-05-27 03:00,38,Good,9,18,1.2,4.4,0.45,19,3.2
66,2024-05-27 03:00,21,Good,6,3.4,0.2,2.9,0.16,23,0.5
65,2024-05-27 03:00,16,Good,5,3.3,0.7,5.2,0.15,13,0.5
64,2024-05-27 03:00,23,Good,3,1.2,0.6,32.2,0.16,9,0.7
63,2024-05-27 03:00,29,Good,11,2.2,0.4,4.9,0.13,16,0.8
62,2024-05-27 03:00,16,Good,0,2.9,0.3,4.3,0.09,20,1.1
61,2024-05-27 03:00,14,Good,1,1,0,13.1,0.09,8,0.8
60,2024-05-27 03:00,32,Good,7,5.3,0.6,0,0.15,23,3.9
59,2024-05-27 03:00,20,Good,3,6.9,0.1,2.1,0.13,22,1.2
58,2024-05-27 03:00,38,Good,11,9.8,0.4,2.9,0.17,20,1.1
57,2024-05-27 03:00,26,Good,6,8.8,1.2,4,0.19,17,1.1
56,2024-05-27 03:00,21,Good,7,9.6,0.3,4.9,0.25,18,0.5
54,2024-05-27 03:00,30,Good,9,7.7,1,6.5,0.19,16,0.7
53,2024-05-27 03:00,19,Good,7,9.8,0.6,4.2,0.17,21,1.5
52,2024-05-27 03:00,25,Good,6,7.1,0.4,2,0.17,21,0.8
51,2024-05-27 03:00,25,Good,8,8.7,1,0.7,0.18,18,2.2
50,2024-05-27 03:00,26,Good,4,6.5,1.3,4.5,0.15,18,1
49,2024-05-27 03:00,26,Good,10,6.8,1.5,7.7,0.15,16,0
48,2024-05-27 03:00,22,Good,11,8.6,1.9,1.4,0.15,20,1.8
47,2024-05-27 03:00,15,Good,0,3.3,1.2,5.6,0.12,13,0.4
46,2024-05-27 03:00,35,Good,8,11,0.7,4.3,0.17,22,1.5
45,2024-05-27 03:00,39,Good,9,6.9,0.1,3.3,0.18,23,1
44,2024-05-27 03:00,29,Good,3,3.9,0.7,2.5,0.09,19,1.2
43,2024-05-27 03:00,37,Good,8,6.7,0.2,1.5,0.24,35,2.6
42,2024-05-27 03:00,36,Good,5,3.9,1,7.6,0.1,29,0.9
41,2024-05-27 03:00,51,Moderate,22,13.1,1,4.6,0.26,40,0.9
40,2024-05-27 03:00,64,Moderate,13,10.4,1.1,0,0.24,28,2.3
39,2024-05-27 03:00,70,Moderate,17,10,0.7,0.2,0.3,34,6
38,2024-05-27 03:00,60,Moderate,24,8.2,1,1,0.3,38,2.4
37,2024-05-27 03:00,63,Moderate,5,5.9,0.9,9.6,0.16,21,1
36,2024-05-27 03:00,72,Moderate,17,9,0.3,1,0.23,35,2.2
35,2024-05-27 03:00,64,Moderate,24,9.8,0.3,2.5,0.31,51,2.9
34,2024-05-27 03:00,46,Good,14,14.5,0.8,4.8,0.3,30,0.5
33,2024-05-27 03:00,52,Moderate,22,8.6,0.8,7.4,0.25,25,1.2
32,2024-05-27 03:00,63,Moderate,30,11.6,1.2,8,0.32,39,1.1
31,2024-05-27 03:00,52,Moderate,18,6.2,0.8,14.8,0.33,30,0.9
30,2024-05-27 03:00,68,Moderate,26,8.9,1.3,7.2,0.34,34,0.6
29,2024-05-27 03:00,62,Moderate,26,15.5,0.6,8.4,0.33,36,1.3
28,2024-05-27 03:00,67,Moderate,15,5,1.2,12.1,0.21,20,0.8
27,2024-05-27 03:00,72,Moderate,18,5.3,0.8,15.6,0.26,28,1
26,2024-05-27 03:00,60,Moderate,23,4.2,0.8,8.2,0.19,30,1.8
25,2024-05-27 03:00,52,Moderate,17,3.7,0.6,8.2,0.21,29,1.3
24,2024-05-27 03:00,44,Good,16,18.2,0,4.6,0.32,24,1.5
23,2024-05-27 03:00,55,Moderate,11,2.9,0.6,6.3,0.19,23,0.6
22,2024-05-27 03:00,63,Moderate,26,7.8,0.7,17.3,0.24,25,1.1
21,2024-05-27 03:00,56,Moderate,18,8.1,0.9,16.4,0.24,28,0.9
20,2024-05-27 03:00,55,Moderate,20,14.1,0.2,11.4,0.35,22,0.8
19,2024-05-27 03:00,65,Moderate,24,9.7,0.5,10.9,0.28,30,0.9
18,2024-05-27 03:00,63,Moderate,21,12.9,0.7,12.2,0.38,44,1.5
17,2024-05-27 03:00,49,Good,16,17.8,1.8,4,0.48,26,1.5
16,2024-05-27 03:00,48,Good,16,14.6,0.6,3.5,0.58,23,5.7
15,2024-05-27 03:00,43,Good,10,10,0,5.8,0.29,23,1.6
14,2024-05-27 03:00,21,Good,4,6.1,0.8,3.9,0.22,22,1
13,2024-05-27 03:00,35,Good,11,10.4,0.1,5.4,0.29,28,1.7
12,2024-05-27 03:00,39,Good,13,12.6,0.4,5.2,0.31,23,0.9
11,2024-05-27 03:00,41,Good,10,11.6,0.7,3.1,0.32,18,0.8
10,2024-05-27 03:00,45,Good,14,17.9,0.2,2.5,0.53,29,1.6
9,2024-05-27 03:00,54,Moderate,14,18.8,1.4,8.9,0.44,17,7.9
8,2024-05-27 03:00,31,Good,9,17.3,1,4.1,0.43,21,0.8
7,2024-05-27 03:00,42,Good,13,15.1,0.7,1.4,0.41,22,1.9
6,2024-05-27 03:00,26,Good,8,10.8,0.4,6.4,0.35,24,1.2
5,2024-05-27 03:00,43,Good,12,9.6,0.1,1.3,0.33,29,1.6
4,2024-05-27 03:00,31,Good,7,3.3,0.4,5.8,0.17,24,1.1
3,2024-05-27 03:00,21,Good,2,1.4,0.6,9.2,0.15,16,0.8
2,2024-05-27 03:00,33,Good,10,9.4,0.3,0.5,0.28,32,7.5
1,2024-05-27 03:00,26,Good,5,10.2,1.1,2.7,0.31,12,0.7
313,2024-05-27 02:00,11,Good,0,3.1,0.2,9.4,0.07,6,0.7
312,2024-05-27 02:00,57,Moderate,21,10.9,0.9,5.7,0.25,38,1.2
311,2024-05-27 02:00,42,Good,9,4,0,7.1,0.2,27,0.4
204,2024-05-27 02:00,34,Good,8,1.4,0.9,13.9,0.04,7,0.8
203,2024-05-27 02:00,36,Good,3,5.6,0.3,1.1,0.13,21,1
202,2024-05-27 02:00,20,Good,4,7,0.8,1.6,0.19,14,3.3
201,2024-05-27 02:00,70,Moderate,27,15.3,1.7,2.9,0.39,36,1.1
85,2024-05-27 02:00,42,Good,13,7.4,0.9,6.4,0.17,25,1.1
84,2024-05-27 02:00,38,Good,7,1.2,0.4,49.3,0.17,15,0.1
83,2024-05-27 02:00,49,Good,22,9,1.5,7.2,0.29,34,1.1
80,2024-05-27 02:00,20,Good,6,2.1,0.9,6,0.08,21,0.4
78,2024-05-27 02:00,31,Good,15,7.5,1.2,17.8,0.26,21,0.4
77,2024-05-27 02:00,22,Good,4,13,1.1,5,0.16,5,1.3
75,2024-05-27 02:00,29,Good,10,5.3,0.8,30.9,0.14,16,0.1
72,2024-05-27 02:00,75,Moderate,23,6.9,1,4.2,0.31,44,1.3
71,2024-05-27 02:00,27,Good,8,7.8,0.9,8.1,0.19,14,1.6
70,2024-05-27 02:00,35,Good,11,8.2,0.9,6,0.27,23,0.7
69,2024-05-27 02:00,72,Moderate,14,5.4,1,6.5,0.14,29,1.2
68,2024-05-27 02:00,59,Moderate,21,16.2,0.5,9.5,0.7,30,1.9
67,2024-05-27 02:00,40,Good,11,19.5,1.2,3.7,0.59,17,9.2
66,2024-05-27 02:00,21,Good,5,4.1,0,3.9,0.17,26,0.6
65,2024-05-27 02:00,17,Good,6,3.8,2.3,6.7,0.16,16,0.4
64,2024-05-27 02:00,21,Good,3,1.2,0.6,20,0.16,9,0.7
63,2024-05-27 02:00,27,Good,6,2.4,0.4,6.8,0.14,14,0.8
62,2024-05-27 02:00,15,Good,3,3,0.4,4.9,0.09,16,0.6
61,2024-05-27 02:00,14,Good,1,0.8,0.1,13.9,0.09,4,0.6
60,2024-05-27 02:00,34,Good,4,4.9,0.7,1.5,0.1,20,1.3
59,2024-05-27 02:00,20,Good,1,7.3,0.3,3.1,0.13,17,1.1
58,2024-05-27 02:00,40,Good,11,11.8,2.2,3.8,0.17,13,0.8
57,2024-05-27 02:00,29,Good,7,8.8,2,7.1,0.19,17,0.8
56,2024-05-27 02:00,22,Good,5,11.1,1.2,3.7,0.29,21,0.7
54,2024-05-27 02:00,32,Good,8,10,1.1,3.8,0.23,18,1.4
53,2024-05-27 02:00,19,Good,6,11.6,0.9,0,0.24,16,5.1
52,2024-05-27 02:00,26,Good,9,7.2,0.4,3.3,0.17,27,0.7
51,2024-05-27 02:00,26,Good,9,8.1,0.9,1.9,0.16,28,1.4
50,2024-05-27 02:00,30,Good,5,7.7,1.3,5.1,0.18,21,1
49,2024-05-27 02:00,25,Good,10,7.3,0.8,5.9,0.18,20,0.1
48,2024-05-27 02:00,20,Good,6,9.1,1.9,0.9,0.18,18,2
47,2024-05-27 02:00,16,Good,0,4.9,1.1,4,0.12,14,1
46,2024-05-27 02:00,39,Good,9,12.8,0.5,1.7,0.21,14,2
45,2024-05-27 02:00,43,Good,7,6.2,0.2,4.6,0.18,22,0.7
44,2024-05-27 02:00,33,Good,3,4.1,0.7,2.3,0.1,22,1.7
43,2024-05-27 02:00,41,Good,9,6.1,0.4,7.3,0.2,25,1.6
42,2024-05-27 02:00,40,Good,6,5,1,6.3,0.11,25,0.8
41,2024-05-27 02:00,46,Good,17,16.2,0.9,4.3,0.26,37,1.9
40,2024-05-27 02:00,67,Moderate,20,12.9,1,,0.3,38,3.5
39,2024-05-27 02:00,72,Moderate,24,11.1,0.5,1.7,0.43,38,4
38,2024-05-27 02:00,58,Moderate,17,7.7,1,0.8,0.27,29,3.3
37,2024-05-27 02:00,74,Moderate,17,8.2,1,6.5,0.23,31,1.1
36,2024-05-27 02:00,75,Moderate,27,8.4,0.3,3.4,0.29,45,0.9
35,2024-05-27 02:00,63,Moderate,22,11.4,0,2.8,0.25,36,5.2
34,2024-05-27 02:00,46,Good,19,,0.8,6.9,0.32,30,
33,2024-05-27 02:00,48,Good,25,9.2,0.8,10.8,0.26,29,1.4
32,2024-05-27 02:00,58,Moderate,23,13.5,1.5,8.5,0.31,34,1.2
31,2024-05-27 02:00,53,Moderate,16,10.7,1.1,14.3,0.34,28,0.8
30,2024-05-27 02:00,66,Moderate,24,9.8,1.2,8.4,0.34,33,0.8
29,2024-05-27 02:00,60,Moderate,19,16.9,0.5,5,0.38,30,0.9
28,2024-05-27 02:00,72,Moderate,18,6.6,1.2,10.1,0.24,29,1
27,2024-05-27 02:00,74,Moderate,25,6.4,0.8,16.4,0.3,35,1.2
26,2024-05-27 02:00,59,Moderate,24,4.7,0.8,9.6,0.19,30,2.2
25,2024-05-27 02:00,53,Moderate,20,4.6,0.6,8.9,0.21,32,1.4
24,2024-05-27 02:00,41,Good,15,20.4,0.1,6.4,0.33,27,1.8
23,2024-05-27 02:00,58,Moderate,19,3.3,0.8,7.7,0.2,23,0.7
22,2024-05-27 02:00,61,Moderate,20,10.7,0.7,15.8,0.26,19,1.1
21,2024-05-27 02:00,56,Moderate,20,8.5,0.8,20.5,0.25,27,0.5
20,2024-05-27 02:00,50,Good,16,19.1,0.2,8.8,0.41,30,0.5
19,2024-05-27 02:00,64,Moderate,28,9.4,0.5,13,0.27,27,0.5
18,2024-05-27 02:00,63,Moderate,25,11.1,0.7,18.2,0.34,39,1.7
17,2024-05-27 02:00,48,Good,15,17.6,1.2,7.3,0.44,17,0.9
16,2024-05-27 02:00,48,Good,11,17.3,0.6,3.1,0.77,21,6.4
15,2024-05-27 02:00,46,Good,15,9.8,0.1,7.5,0.27,27,1.5
14,2024-05-27 02:00,25,Good,4,6.9,0.9,6.3,0.21,11,1
13,2024-05-27 02:00,35,Good,8,18.5,0.4,2.6,0.46,25,2.5
12,2024-05-27 02:00,39,Good,14,15.3,0.3,2.7,0.39,21,1.1
11,2024-05-27 02:00,43,Good,14,12.3,0.8,4.5,0.34,23,0.8
10,2024-05-27 02:00,45,Good,15,15.1,,8,0.48,25,1.2
9,2024-05-27 02:00,54,Moderate,21,24.2,1.5,5.8,0.54,29,4.5
8,2024-05-27 02:00,32,Good,9,18.4,0.8,2.9,0.5,26,1.3
7,2024-05-27 02:00,41,Good,14,14.5,0.6,1.9,0.42,26,1.9
6,2024-05-27 02:00,27,Good,7,10.5,0.3,7.7,0.34,21,1.1
5,2024-05-27 02:00,44,Good,14,11.2,0.2,3.7,0.35,25,0.9
4,2024-05-27 02:00,33,Good,8,3.9,0.4,6.6,0.17,6,1.1
3,2024-05-27 02:00,23,Good,3,1.2,0.8,8.9,0.14,21,1
2,2024-05-27 02:00,33,Good,10,8.8,0.3,1.7,0.26,26,4.1
1,2024-05-27 02:00,28,Good,6,8.5,1.4,3.8,0.27,23,0.8
313,2024-05-27 01:00,12,Good,2,2.4,0.2,11.8,0.06,1,0.5
312,2024-05-27 01:00,53,Moderate,31,12.5,0.7,6.4,0.31,42,1.4
311,2024-05-27 01:00,44,Good,13,8.6,0.4,5.7,0.27,28,1.2
204,2024-05-27 01:00,35,Good,11,5.1,0.3,9.7,0.11,10,1.1
203,2024-05-27 01:00,45,Good,5,5.5,0,1.1,0.19,24,2.5
202,2024-05-27 01:00,23,Good,3,5.7,0.1,3,0.15,19,2
201,2024-05-27 01:00,69,Moderate,28,14.9,2,3.8,0.39,34,1.8
85,2024-05-27 01:00,43,Good,18,7,1.1,6,0.17,22,1.5
84,2024-05-27 01:00,39,Good,8,1.1,0.6,51,0.17,20,0
83,2024-05-27 01:00,47,Good,18,9.5,1.1,4.9,0.34,29,1.6
80,2024-05-27 01:00,18,Good,11,2.5,0.1,7,0.09,21,0.5
78,2024-05-27 01:00,26,Good,10,8.6,1.2,18.8,0.23,17,0.6
77,2024-05-27 01:00,13,Good,1,7.7,0.4,8.5,0.17,3,0.7
75,2024-05-27 01:00,29,Good,7,4.5,0.4,26.2,0.15,13,0.1
72,2024-05-27 01:00,75,Moderate,28,5.7,1,7.3,0.31,40,0.8
71,2024-05-27 01:00,30,Good,9,16.1,1.9,1.1,0.45,16,9.9
70,2024-05-27 01:00,34,Good,12,15.8,1,3.3,0.52,21,3.9
69,2024-05-27 01:00,78,Moderate,20,5.7,0.8,5.5,0.2,34,0.9
68,2024-05-27 01:00,56,Moderate,23,19.7,2.3,9.3,0.74,33,7.8
67,2024-05-27 01:00,40,Good,9,22.4,0.4,1.4,1.01,22,38.4
66,2024-05-27 01:00,20,Good,9,4.2,0,4.7,0.15,24,0.4
65,2024-05-27 01:00,18,Good,3,3.2,0.4,7.6,0.15,22,0.7
64,2024-05-27 01:00,22,Good,3,1,0.7,24.2,0.15,11,0.6
63,2024-05-27 01:00,29,Good,7,2.2,0.7,13.7,0.12,10,0.2
62,2024-05-27 01:00,15,Good,1,2.8,0,5.3,0.12,19,0.5
61,2024-05-27 01:00,15,Good,3,1,0.5,15.2,0.07,9,0.6
60,2024-05-27 01:00,41,Good,8,5.1,0.8,1.1,0.13,25,3.1
59,2024-05-27 01:00,24,Good,4,6,0.1,6,0.15,22,0.8
58,2024-05-27 01:00,41,Good,11,14.3,1.4,2.1,0.31,27,4.6
57,2024-05-27 01:00,35,Good,7,15.9,2,0.6,0.57,21,13.8
